element_type,osmid,barrier,geometry,addr:city,addr:street,name,nodes,leisure,old_name,name:en,wikidata,int_name,name:ar,tourism,wikipedia,name:fa,created_by,access,opening_hours,alt_name,ways,type
way,52157675,,"POLYGON ((59.5466159 36.3352213, 59.5466486 36.3353458, 59.5482199 36.3350784, 59.550152 36.3347496, 59.5501193 36.3346251, 59.5481908 36.3349533, 59.5466159 36.3352213))",,,بوستان یاسمن,"[664488796, 664488795, 1842625752, 664488801, 664488802, 1842625751, 664488796]",park,,Yasaman Park,,,,,,,,,,,,
way,52157676,,"POLYGON ((59.5487107 36.3366539, 59.54845 36.336698, 59.548152 36.3355571, 59.5484127 36.3355129, 59.5487107 36.3366539))",,,بوستان یاسمین,"[664488803, 664488800, 664488799, 664488798, 664488803]",park,,Yasmin Park,,,,,,,,,,,,
way,52160054,,"POLYGON ((59.5824089 36.3008471, 59.5823476 36.3007315, 59.5820886 36.3005269, 59.5821205 36.3004654, 59.5824027 36.3005999, 59.5826492 36.3006461, 59.582496 36.3008705, 59.5824089 36.3008471))",,,بوستان قائم,"[664507177, 664507171, 664507172, 664507175, 1052484294, 664507176, 2318577389, 664507177]",park,,Ghaem Park,,,,,,,,,,,,
way,52160055,,"POLYGON ((59.5684877 36.3177222, 59.5693736 36.3175229, 59.5701671 36.3205758, 59.5687749 36.3212446, 59.5662999 36.3189791, 59.5673566 36.3182677, 59.5679561 36.3179, 59.5684877 36.3177222))",,,۵۱۲ دستگاه,"[664507179, 905826111, 905825873, 905825508, 905825193, 905826071, 905825382, 664507179]",park,,512 Apartment Complex,,,,,,,,,,,,
way,52175035,,"POLYGON ((59.5924056 36.2913553, 59.5922339 36.2912877, 59.5917802 36.2919756, 59.5915335 36.2921226, 59.591368 36.2923649, 59.5914231 36.2924127, 59.5912461 36.2927286, 59.5913519 36.2927675, 59.591608 36.2923313, 59.5918189 36.2921392, 59.5919426 36.2920841, 59.5923939 36.2914477, 59.5924056 36.2913553))",,,بوستان رازی,"[664474680, 664474736, 664474738, 664474739, 664474740, 1052634084, 664474741, 664474742, 664474743, 664474744, 1052634315, 1052634492, 664474680]",park,,,,,,,,,,,,,,
way,52301189,,"POLYGON ((59.597895 36.3338469, 59.597895 36.3340946, 59.5979884 36.3342327, 59.5997374 36.3335933, 59.5994658 36.3333235, 59.5989468 36.33356, 59.5987343 36.3333282, 59.597895 36.3338469))",,,بوستان رایا,"[665513268, 665513273, 665513274, 665513279, 665513281, 665513277, 665513278, 665513268]",park,,Raya Park,,,,,,,,,,,,
way,52301938,,"POLYGON ((59.5632268 36.3444724, 59.5634822 36.3445309, 59.563012 36.345101, 59.562727 36.345038, 59.562791 36.344767, 59.562475 36.344704, 59.562551 36.344396, 59.562601 36.344359, 59.563024 36.344429, 59.563096 36.344534, 59.563206 36.344548, 59.5632268 36.3444724))",,,بوستان فخر,"[665521705, 665521697, 665521708, 665521707, 665521684, 665521686, 665521687, 665521689, 665521695, 665521693, 665521691, 665521705]",park,,Fakhr park,,,,,,,,,,,,
way,52571999,,"POLYGON ((59.5854876 36.3341424, 59.5855387 36.3346423, 59.5855868 36.3346631, 59.5866771 36.3345949, 59.5866776 36.334037, 59.58554 36.3340956, 59.5854876 36.3341424))",,,بوستان ابریشم,"[2010637218, 2010637227, 2010637229, 667894212, 667894210, 2010637217, 2010637218]",park,,Abrisham park,,,,,,,,,,,,
way,52629098,,"POLYGON ((59.5806878 36.3004958, 59.5807791 36.3003811, 59.5810027 36.3003965, 59.5811563 36.3003429, 59.5813969 36.3003595, 59.581617 36.3004638, 59.5813042 36.3005711, 59.5811591 36.3005009, 59.5809673 36.3005197, 59.5806878 36.3004958))",,,پارک خطی قره خان,"[668387318, 668387310, 668387312, 2318577374, 668387313, 668387321, 668387315, 668387317, 2318577383, 668387318]",park,,,,,,,,,,,,,,
way,52709443,,"POLYGON ((59.5893265 36.3377507, 59.5896024 36.3377195, 59.5896901 36.3377623, 59.5906085 36.3375852, 59.5907033 36.3376199, 59.5908217 36.3375836, 59.5908815 36.3375655, 59.5909635 36.3374138, 59.5918334 36.3371335, 59.5918996 36.3371705, 59.5929429 36.3369043, 59.5930062 36.3368348, 59.5932706 36.336726, 59.5935034 36.3366056, 59.593604 36.3366264, 59.5939288 36.3364829, 59.5940265 36.3363314, 59.5941409 36.3362288, 59.5942206 36.3363293, 59.5946372 36.3360445, 59.5946616 36.3359315, 59.5947653 36.3357972, 59.5951291 36.3355746, 59.5974761 36.3380813, 59.5973815 36.338323, 59.5964906 36.3378411, 59.5962381 36.3377716, 59.595922 36.3377314, 59.5955891 36.3377402, 59.5952672 36.3378238, 59.5949937 36.3379441, 59.5947557 36.3380228, 59.5945245 36.3380213, 59.5943023 36.3380058, 59.5939591 36.3380284, 59.5936815 36.3380959, 59.5932225 36.3382887, 59.5930956 36.3383078, 59.5900884 36.338438, 59.5899741 36.3384326, 59.5897329 36.3383751, 59.5894901 36.3383736, 59.5893265 36.3377507))",مشهد,بولوار هدایت غربی,پارک بانوان حجاب,"[668994178, 668994198, 2010637400, 668994200, 2010637383, 4195579419, 2010637381, 668994201, 668994188, 668994189, 2010637327, 668994195, 668994196, 2010637298, 668994192, 2010637286, 668994193, 668994197, 2010637277, 2010637268, 2010637265, 2010637255, 668994191, 668994237, 668994239, 668994238, 668994232, 668994233, 668994235, 668994236, 668994226, 668994228, 668994229, 668994231, 668994216, 668994218, 668994220, 668994222, 668994207, 668994208, 668994180, 668994181, 668994178]",park,,Hijab Park,,,,,,,,,,,,
