,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
اقبال,1,0,42,173,1,8,2,42,4,88.89,"[{'let': 36.3293243, 'lon': 59.460644}, {'let': 36.3293243, 'lon': 59.4775772}, {'let': 36.340156, 'lon': 59.4775772}, {'let': 36.340156, 'lon': 59.460644}, {'let': 36.3293243, 'lon': 59.460644}]"
شهرآرا,2,0,92,421,1,9,1,117,8,88.89,"[{'let': 36.3082125, 'lon': 59.4549286}, {'let': 36.3082125, 'lon': 59.4795178}, {'let': 36.3350753, 'lon': 59.4795178}, {'let': 36.3350753, 'lon': 59.4549286}, {'let': 36.3082125, 'lon': 59.4549286}]"
آب و برق,2,0,71,214,0,11,4,38,7,77.78,"[{'let': 36.3142952, 'lon': 59.4766773}, {'let': 36.3142952, 'lon': 59.4932453}, {'let': 36.3267756, 'lon': 59.4932453}, {'let': 36.3267756, 'lon': 59.4766773}, {'let': 36.3142952, 'lon': 59.4766773}]"
حافظ,3,0,84,273,3,2,8,78,4,88.89,"[{'let': 36.3181865, 'lon': 59.4828303}, {'let': 36.3181865, 'lon': 59.5014603}, {'let': 36.3323566, 'lon': 59.5014603}, {'let': 36.3323566, 'lon': 59.4828303}, {'let': 36.3181865, 'lon': 59.4828303}]"
هنرستان,3,0,134,429,1,14,5,50,20,88.89,"[{'let': 36.3108771, 'lon': 59.4932453}, {'let': 36.3108771, 'lon': 59.5155166}, {'let': 36.3274076, 'lon': 59.5155166}, {'let': 36.3274076, 'lon': 59.4932453}, {'let': 36.3108771, 'lon': 59.4932453}]"
نیروی هوایی,65,0,128,693,1,12,4,76,10,88.89,"[{'let': 36.2865753, 'lon': 59.471573}, {'let': 36.2865753, 'lon': 59.5044744}, {'let': 36.3181865, 'lon': 59.5044744}, {'let': 36.3181865, 'lon': 59.471573}, {'let': 36.2865753, 'lon': 59.471573}]"
نه دره,62,0,44,233,0,10,3,56,4,77.78,"[{'let': 36.2920832, 'lon': 59.4646318}, {'let': 36.2920832, 'lon': 59.4897383}, {'let': 36.3173836, 'lon': 59.4897383}, {'let': 36.3173836, 'lon': 59.4646318}, {'let': 36.2920832, 'lon': 59.4646318}]"
چهارچشمه,19,0,201,649,1,7,1,39,5,88.89,"[{'let': 36.2832081, 'lon': 59.4869501}, {'let': 36.2832081, 'lon': 59.51269}, {'let': 36.3108771, 'lon': 59.51269}, {'let': 36.3108771, 'lon': 59.4869501}, {'let': 36.2832081, 'lon': 59.4869501}]"
سرافرازان,25,0,285,673,0,4,1,77,4,77.78,"[{'let': 36.2778697, 'lon': 59.4943888}, {'let': 36.2778697, 'lon': 59.5293197}, {'let': 36.3047343, 'lon': 59.5293197}, {'let': 36.3047343, 'lon': 59.4943888}, {'let': 36.2778697, 'lon': 59.4943888}]"
کوثر,2,0,273,396,0,16,4,150,15,77.78,"[{'let': 36.3047343, 'lon': 59.5044744}, {'let': 36.3047343, 'lon': 59.5276973}, {'let': 36.3230173, 'lon': 59.5276973}, {'let': 36.3230173, 'lon': 59.5044744}, {'let': 36.3047343, 'lon': 59.5044744}]"
نوفل لوشاتو,36,1,146,490,3,17,8,104,9,100.0,"[{'let': 36.2859054, 'lon': 59.5374039}, {'let': 36.2859054, 'lon': 59.5632375}, {'let': 36.315082, 'lon': 59.5632375}, {'let': 36.315082, 'lon': 59.5374039}, {'let': 36.2859054, 'lon': 59.5374039}]"
رضاشهر,16,0,221,377,0,11,6,87,5,77.78,"[{'let': 36.2831472, 'lon': 59.52369}, {'let': 36.2831472, 'lon': 59.5563767}, {'let': 36.3017103, 'lon': 59.5563767}, {'let': 36.3017103, 'lon': 59.52369}, {'let': 36.2831472, 'lon': 59.52369}]"
بهارستان,1,0,61,99,4,3,3,93,2,88.89,"[{'let': 36.2727759, 'lon': 59.5376936}, {'let': 36.2727759, 'lon': 59.5564823}, {'let': 36.2859054, 'lon': 59.5564823}, {'let': 36.2859054, 'lon': 59.5376936}, {'let': 36.2727759, 'lon': 59.5376936}]"
زکریا,20,0,168,463,1,7,5,55,5,88.89,"[{'let': 36.2677017, 'lon': 59.5016722}, {'let': 36.2677017, 'lon': 59.5441094}, {'let': 36.2931659, 'lon': 59.5441094}, {'let': 36.2931659, 'lon': 59.5016722}, {'let': 36.2677017, 'lon': 59.5016722}]"
دانشگاه,21,0,420,240,0,5,5,349,5,77.78,"[{'let': 36.2993095, 'lon': 59.51269}, {'let': 36.2993095, 'lon': 59.540596}, {'let': 36.319233, 'lon': 59.540596}, {'let': 36.319233, 'lon': 59.51269}, {'let': 36.2993095, 'lon': 59.51269}]"
پورسینا,2,0,43,435,1,1,0,28,0,66.67,"[{'let': 36.2660645, 'lon': 59.6600116}, {'let': 36.2660645, 'lon': 59.6841778}, {'let': 36.28274, 'lon': 59.6841778}, {'let': 36.28274, 'lon': 59.6600116}, {'let': 36.2660645, 'lon': 59.6600116}]"
موعود,2,0,15,430,1,2,0,26,2,77.78,"[{'let': 36.2625469, 'lon': 59.6676452}, {'let': 36.2625469, 'lon': 59.6915732}, {'let': 36.2750468, 'lon': 59.6915732}, {'let': 36.2750468, 'lon': 59.6676452}, {'let': 36.2625469, 'lon': 59.6676452}]"
اروند,1,0,15,216,0,0,1,5,1,66.67,"[{'let': 36.2600771, 'lon': 59.6762833}, {'let': 36.2600771, 'lon': 59.6915732}, {'let': 36.2704218, 'lon': 59.6915732}, {'let': 36.2704218, 'lon': 59.6762833}, {'let': 36.2600771, 'lon': 59.6762833}]"
انصار,1,0,58,127,0,0,1,11,0,55.56,"[{'let': 36.2569999, 'lon': 59.6823411}, {'let': 36.2569999, 'lon': 59.6989516}, {'let': 36.2704218, 'lon': 59.6989516}, {'let': 36.2704218, 'lon': 59.6823411}, {'let': 36.2569999, 'lon': 59.6823411}]"
شهرک شهید باهنر,2,0,0,137,0,0,0,0,0,22.22,"[{'let': 36.2379737, 'lon': 59.704017}, {'let': 36.2379737, 'lon': 59.7237396}, {'let': 36.2564209, 'lon': 59.7237396}, {'let': 36.2564209, 'lon': 59.704017}, {'let': 36.2379737, 'lon': 59.704017}]"
مصطفی خمینی,5,0,58,144,1,1,0,25,0,66.67,"[{'let': 36.2447073, 'lon': 59.6245872}, {'let': 36.2447073, 'lon': 59.6579812}, {'let': 36.2600998, 'lon': 59.6579812}, {'let': 36.2600998, 'lon': 59.6245872}, {'let': 36.2447073, 'lon': 59.6245872}]"
شهرک شیرین,6,0,36,101,0,0,0,23,0,44.44,"[{'let': 36.2472589, 'lon': 59.6464491}, {'let': 36.2472589, 'lon': 59.6626764}, {'let': 36.2632487, 'lon': 59.6626764}, {'let': 36.2632487, 'lon': 59.6464491}, {'let': 36.2472589, 'lon': 59.6464491}]"
کشاورز,4,0,68,170,0,0,1,39,1,66.67,"[{'let': 36.2440711, 'lon': 59.6658656}, {'let': 36.2440711, 'lon': 59.6940066}, {'let': 36.2625556, 'lon': 59.6940066}, {'let': 36.2625556, 'lon': 59.6658656}, {'let': 36.2440711, 'lon': 59.6658656}]"
شهید معقول,10,0,20,246,1,1,0,79,3,77.78,"[{'let': 36.2458523, 'lon': 59.6536965}, {'let': 36.2458523, 'lon': 59.6762833}, {'let': 36.2660645, 'lon': 59.6762833}, {'let': 36.2660645, 'lon': 59.6536965}, {'let': 36.2458523, 'lon': 59.6536965}]"
امیر آباد,8,0,14,82,1,2,0,43,1,77.78,"[{'let': 36.2602301, 'lon': 59.651446}, {'let': 36.2602301, 'lon': 59.6676452}, {'let': 36.2702972, 'lon': 59.6676452}, {'let': 36.2702972, 'lon': 59.651446}, {'let': 36.2602301, 'lon': 59.651446}]"
چهنو,3,0,30,202,0,5,5,21,1,77.78,"[{'let': 36.2708723, 'lon': 59.6173075}, {'let': 36.2708723, 'lon': 59.6297181}, {'let': 36.2812779, 'lon': 59.6297181}, {'let': 36.2812779, 'lon': 59.6173075}, {'let': 36.2708723, 'lon': 59.6173075}]"
شیرودی,0,0,23,205,0,2,0,7,0,44.44,"[{'let': 36.2641699, 'lon': 59.6258223}, {'let': 36.2641699, 'lon': 59.6362218}, {'let': 36.2756983, 'lon': 59.6362218}, {'let': 36.2756983, 'lon': 59.6258223}, {'let': 36.2641699, 'lon': 59.6258223}]"
کارمندان اول,1,0,18,343,0,10,5,22,5,77.78,"[{'let': 36.2696522, 'lon': 59.6238701}, {'let': 36.2696522, 'lon': 59.6407552}, {'let': 36.2815723, 'lon': 59.6407552}, {'let': 36.2815723, 'lon': 59.6238701}, {'let': 36.2696522, 'lon': 59.6238701}]"
کارمندان دوم,1,0,42,341,1,0,0,37,1,66.67,"[{'let': 36.2600998, 'lon': 59.6362218}, {'let': 36.2600998, 'lon': 59.6571442}, {'let': 36.27692, 'lon': 59.6571442}, {'let': 36.27692, 'lon': 59.6362218}, {'let': 36.2600998, 'lon': 59.6362218}]"
محمد آباد,1,0,56,300,1,1,0,25,1,77.78,"[{'let': 36.2580623, 'lon': 59.6260974}, {'let': 36.2580623, 'lon': 59.6464491}, {'let': 36.2696522, 'lon': 59.6464491}, {'let': 36.2696522, 'lon': 59.6260974}, {'let': 36.2580623, 'lon': 59.6260974}]"
شهید آوینی,1,0,24,145,1,2,1,12,1,88.89,"[{'let': 36.2939469, 'lon': 59.6612416}, {'let': 36.2939469, 'lon': 59.6763007}, {'let': 36.3024213, 'lon': 59.6763007}, {'let': 36.3024213, 'lon': 59.6612416}, {'let': 36.2939469, 'lon': 59.6612416}]"
ثامن,3,0,19,398,0,1,0,17,1,66.67,"[{'let': 36.2789591, 'lon': 59.6590606}, {'let': 36.2789591, 'lon': 59.6858272}, {'let': 36.2953147, 'lon': 59.6858272}, {'let': 36.2953147, 'lon': 59.6590606}, {'let': 36.2789591, 'lon': 59.6590606}]"
نیزه,13,0,70,258,1,1,0,21,1,77.78,"[{'let': 36.2938329, 'lon': 59.6727193}, {'let': 36.2938329, 'lon': 59.7065735}, {'let': 36.315177, 'lon': 59.7065735}, {'let': 36.315177, 'lon': 59.6727193}, {'let': 36.2938329, 'lon': 59.6727193}]"
امیر المومنین,13,0,54,456,1,1,0,23,2,77.78,"[{'let': 36.2863088, 'lon': 59.6700485}, {'let': 36.2863088, 'lon': 59.7040813}, {'let': 36.311902, 'lon': 59.7040813}, {'let': 36.311902, 'lon': 59.6700485}, {'let': 36.2863088, 'lon': 59.6700485}]"
شهرک مهر آباد,0,0,68,305,1,3,0,25,0,55.56,"[{'lat': 36.2702972, 'lon': 59.6571442}, {'lat': 36.2691398, 'lon': 59.6600116}]"
حسین آباد,0,0,112,425,3,1,1,35,1,77.78,"[{'let': 36.2702972, 'lon': 59.6387894}, {'let': 36.2702972, 'lon': 59.6590606}, {'let': 36.293476, 'lon': 59.6590606}, {'let': 36.293476, 'lon': 59.6387894}, {'let': 36.2702972, 'lon': 59.6387894}]"
رضاییه,0,0,55,216,0,5,0,15,4,55.56,"[{'let': 36.27692, 'lon': 59.6293681}, {'let': 36.27692, 'lon': 59.6407552}, {'let': 36.2924812, 'lon': 59.6407552}, {'let': 36.2924812, 'lon': 59.6293681}, {'let': 36.27692, 'lon': 59.6293681}]"
سجادیه,0,0,28,116,0,0,0,6,0,33.33,"[{'lat': 36.2906592, 'lon': 59.6403538}, {'lat': 36.2903338, 'lon': 59.6406354}, {'lat': 36.2892972, 'lon': 59.6410847}, {'lat': 36.2872855, 'lon': 59.6416359}, {'lat': 36.2863244, 'lon': 59.6420167}, {'lat': 36.2856791, 'lon': 59.6423386}, {'lat': 36.2845602, 'lon': 59.6430722}, {'lat': 36.2817267, 'lon': 59.6387894}]"
جلالیه,1,0,46,164,1,7,5,24,5,88.89,"[{'let': 36.27692, 'lon': 59.6241526}, {'let': 36.27692, 'lon': 59.6407552}, {'let': 36.2864575, 'lon': 59.6407552}, {'let': 36.2864575, 'lon': 59.6241526}, {'let': 36.27692, 'lon': 59.6241526}]"
حجاب,2,0,165,312,2,8,0,40,2,77.78,"[{'let': 36.3648979, 'lon': 59.5042625}, {'let': 36.3648979, 'lon': 59.5245977}, {'let': 36.380253, 'lon': 59.5245977}, {'let': 36.380253, 'lon': 59.5042625}, {'let': 36.3648979, 'lon': 59.5042625}]"
شهرک امام هادی,8,0,47,286,2,4,0,125,1,77.78,"[{'let': 36.3452517, 'lon': 59.5363659}, {'let': 36.3452517, 'lon': 59.5519828}, {'let': 36.3705057, 'lon': 59.5519828}, {'let': 36.3705057, 'lon': 59.5363659}, {'let': 36.3452517, 'lon': 59.5363659}]"
ادیب نیشابوری,1,1,128,218,0,3,0,30,2,77.78,"[{'let': 36.3591395, 'lon': 59.5115983}, {'let': 36.3591395, 'lon': 59.527992}, {'let': 36.3679822, 'lon': 59.527992}, {'let': 36.3679822, 'lon': 59.5115983}, {'let': 36.3591395, 'lon': 59.5115983}]"
نرگس,0,0,67,86,0,0,0,2,0,33.33,"[{'let': 36.3466136, 'lon': 59.476801}, {'let': 36.3466136, 'lon': 59.4883087}, {'let': 36.352145, 'lon': 59.4883087}, {'let': 36.352145, 'lon': 59.476801}, {'let': 36.3466136, 'lon': 59.476801}]"
فرهنگیان,1,0,100,330,0,5,0,31,13,66.67,"[{'let': 36.3520694, 'lon': 59.4878393}, {'let': 36.3520694, 'lon': 59.5075308}, {'let': 36.3646004, 'lon': 59.5075308}, {'let': 36.3646004, 'lon': 59.4878393}, {'let': 36.3520694, 'lon': 59.4878393}]"
شهرک لشکر,2,0,250,454,0,5,2,56,9,77.78,"[{'let': 36.3559394, 'lon': 59.479904}, {'let': 36.3559394, 'lon': 59.5037126}, {'let': 36.3711138, 'lon': 59.5037126}, {'let': 36.3711138, 'lon': 59.479904}, {'let': 36.3559394, 'lon': 59.479904}]"
امامیه,2,2,166,337,1,9,3,56,3,100.0,"[{'let': 36.3591395, 'lon': 59.500207}, {'let': 36.3591395, 'lon': 59.5174187}, {'let': 36.3741481, 'lon': 59.5174187}, {'let': 36.3741481, 'lon': 59.500207}, {'let': 36.3591395, 'lon': 59.500207}]"
حسابی جنوبی,0,0,83,67,0,1,0,2,1,55.56,"[{'let': 36.3454167, 'lon': 59.4879713}, {'let': 36.3454167, 'lon': 59.501591}, {'let': 36.3522725, 'lon': 59.501591}, {'let': 36.3522725, 'lon': 59.4879713}, {'let': 36.3454167, 'lon': 59.4879713}]"
شاهد,2,0,100,253,0,4,1,27,6,77.78,"[{'let': 36.3451828, 'lon': 59.5010733}, {'let': 36.3451828, 'lon': 59.5141432}, {'let': 36.3593339, 'lon': 59.5141432}, {'let': 36.3593339, 'lon': 59.5010733}, {'let': 36.3451828, 'lon': 59.5010733}]"
استاد یوسفی,5,1,142,336,0,6,3,44,6,88.89,"[{'let': 36.3517756, 'lon': 59.5129207}, {'let': 36.3517756, 'lon': 59.5316666}, {'let': 36.363589, 'lon': 59.5316666}, {'let': 36.363589, 'lon': 59.5129207}, {'let': 36.3517756, 'lon': 59.5129207}]"
ولیعصر,3,0,107,232,0,3,3,14,4,77.78,"[{'let': 36.3451026, 'lon': 59.5135242}, {'let': 36.3451026, 'lon': 59.5313609}, {'let': 36.3563833, 'lon': 59.5313609}, {'let': 36.3563833, 'lon': 59.5135242}, {'let': 36.3451026, 'lon': 59.5135242}]"
شهرک رازی,3,0,70,394,1,2,2,110,5,88.89,"[{'let': 36.3450844, 'lon': 59.5260394}, {'let': 36.3450844, 'lon': 59.5480044}, {'let': 36.3658332, 'lon': 59.5480044}, {'let': 36.3658332, 'lon': 59.5260394}, {'let': 36.3450844, 'lon': 59.5260394}]"
فارغ التحصیلان,1,0,150,208,1,2,2,53,1,88.89,"[{'let': 36.3366523, 'lon': 59.4605236}, {'let': 36.3366523, 'lon': 59.476801}, {'let': 36.3510607, 'lon': 59.476801}, {'let': 36.3510607, 'lon': 59.4605236}, {'let': 36.3366523, 'lon': 59.4605236}]"
شریف,0,0,120,422,1,6,4,82,11,77.78,"[{'let': 36.3290215, 'lon': 59.4718545}, {'let': 36.3290215, 'lon': 59.5001567}, {'let': 36.3431299, 'lon': 59.5001567}, {'let': 36.3431299, 'lon': 59.4718545}, {'let': 36.3290215, 'lon': 59.4718545}]"
تربیت,0,0,58,226,1,1,1,15,5,77.78,"[{'let': 36.3371128, 'lon': 59.4749138}, {'let': 36.3371128, 'lon': 59.5035464}, {'let': 36.3466893, 'lon': 59.5035464}, {'let': 36.3466893, 'lon': 59.4749138}, {'let': 36.3371128, 'lon': 59.4749138}]"
دانشجو,2,0,53,164,2,9,5,20,9,88.89,"[{'let': 36.3252325, 'lon': 59.4962902}, {'let': 36.3252325, 'lon': 59.5120195}, {'let': 36.3371128, 'lon': 59.5120195}, {'let': 36.3371128, 'lon': 59.4962902}, {'let': 36.3252325, 'lon': 59.4962902}]"
فرهنگ,2,0,72,282,0,22,2,23,12,77.78,"[{'let': 36.3202147, 'lon': 59.508435}, {'let': 36.3202147, 'lon': 59.5284507}, {'let': 36.3336178, 'lon': 59.5284507}, {'let': 36.3336178, 'lon': 59.508435}, {'let': 36.3202147, 'lon': 59.508435}]"
سید رضی,1,0,42,245,0,18,0,8,6,66.67,"[{'let': 36.3282904, 'lon': 59.5120195}, {'let': 36.3282904, 'lon': 59.5312804}, {'let': 36.3409046, 'lon': 59.5312804}, {'let': 36.3409046, 'lon': 59.5120195}, {'let': 36.3282904, 'lon': 59.5120195}]"
شهید رضوی,1,0,44,102,0,1,0,7,1,66.67,"[{'let': 36.3382147, 'lon': 59.5139748}, {'let': 36.3382147, 'lon': 59.5331941}, {'let': 36.3451788, 'lon': 59.5331941}, {'let': 36.3451788, 'lon': 59.5139748}, {'let': 36.3382147, 'lon': 59.5139748}]"
زیبا شهر,0,0,25,81,0,0,2,6,0,44.44,"[{'let': 36.3355252, 'lon': 59.5312804}, {'let': 36.3355252, 'lon': 59.5480593}, {'let': 36.3452517, 'lon': 59.5480593}, {'let': 36.3452517, 'lon': 59.5312804}, {'let': 36.3355252, 'lon': 59.5312804}]"
آزادشهر,2,1,272,381,1,43,3,95,19,100.0,"[{'let': 36.315082, 'lon': 59.5245237}, {'let': 36.315082, 'lon': 59.5459621}, {'let': 36.3382147, 'lon': 59.5459621}, {'let': 36.3382147, 'lon': 59.5245237}, {'let': 36.315082, 'lon': 59.5245237}]"
جاهد شهر,23,0,516,863,2,15,2,154,15,88.89,"[{'let': 36.3510607, 'lon': 59.4442997}, {'let': 36.3510607, 'lon': 59.4914132}, {'let': 36.3809188, 'lon': 59.4914132}, {'let': 36.3809188, 'lon': 59.4442997}, {'let': 36.3510607, 'lon': 59.4442997}]"
وکیل آباد,27,0,67,311,0,2,2,145,1,77.78,"[{'lat': 36.340156, 'lon': 59.460644}, {'lat': 36.3404034, 'lon': 59.4599777}, {'lat': 36.340891, 'lon': 59.4584782}, {'lat': 36.3413276, 'lon': 59.457118}, {'lat': 36.3416216, 'lon': 59.4560866}, {'lat': 36.3420639, 'lon': 59.4546317}, {'lat': 36.3424788, 'lon': 59.4532661}, {'lat': 36.3430307, 'lon': 59.4515365}, {'lat': 36.3432454, 'lon': 59.4508815}, {'lat': 36.343881, 'lon': 59.4491604}, {'lat': 36.3443648, 'lon': 59.4477551}, {'lat': 36.3446734, 'lon': 59.4467617}, {'lat': 36.3451757, 'lon': 59.4460529}, {'lat': 36.3460332, 'lon': 59.445494}, {'lat': 36.346275, 'lon': 59.4452388}, {'lat': 36.3464823, 'lon': 59.4449189}, {'lat': 36.346666, 'lon': 59.4444901}, {'lat': 36.3469982, 'lon': 59.4434856}, {'lat': 36.347341, 'lon': 59.4424436}]"
اکبرآباد,10,0,10,123,1,1,0,20,0,66.67,"[{'let': 36.4224365, 'lon': 59.4455033}, {'let': 36.4224365, 'lon': 59.473865}, {'let': 36.4443383, 'lon': 59.473865}, {'let': 36.4443383, 'lon': 59.4455033}, {'let': 36.4224365, 'lon': 59.4455033}]"
فردوسی,17,0,107,146,0,1,0,19,0,55.56,"[{'lat': 36.4633881, 'lon': 59.5289437}, {'lat': 36.4670949, 'lon': 59.5206907}, {'lat': 36.4680072, 'lon': 59.5175901}, {'lat': 36.4704398, 'lon': 59.5150946}, {'lat': 36.4705425, 'lon': 59.5135615}, {'lat': 36.4707438, 'lon': 59.5105571}, {'lat': 36.4727507, 'lon': 59.5065491}, {'lat': 36.4761561, 'lon': 59.5017848}, {'lat': 36.4782844, 'lon': 59.5001211}, {'lat': 36.4830272, 'lon': 59.4897606}, {'lat': 36.4836961, 'lon': 59.4856013}, {'lat': 36.4846993, 'lon': 59.4835784}]"
چهاربرج,36,0,68,345,0,1,0,23,0,55.56,"[{'lat': 36.4612137, 'lon': 59.4562236}, {'lat': 36.4728099, 'lon': 59.467961}, {'lat': 36.4796598, 'lon': 59.4752566}, {'lat': 36.4826619, 'lon': 59.4800202}, {'lat': 36.4846993, 'lon': 59.4835784}]"
کلاته برفی,34,0,11,319,0,0,0,19,0,44.44,"[{'lat': 36.4301655, 'lon': 59.473865}, {'lat': 36.4308475, 'lon': 59.4725346}, {'lat': 36.4349304, 'lon': 59.4680822}, {'lat': 36.4387282, 'lon': 59.4641018}, {'lat': 36.443786, 'lon': 59.4566667}, {'lat': 36.4443383, 'lon': 59.4555531}]"
percentage,81.0,17.65,97.29,100.0,60.63,83.71,59.73,99.55,79.19,100.0,75.4161085972851
