,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
ناحیه ۱ منطقه ۸,25,3,153,633,6,106,18,307,58,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
ناحیه ۳ منطقه ۱۰,22,4,731,2334,5,27,8,330,23,100.0,"[{'lat': 36.3452517, 'lon': 59.5480044}, {'lat': 36.3463705, 'lon': 59.5477277}, {'lat': 36.3479649, 'lon': 59.546982}, {'lat': 36.3545342, 'lon': 59.5430902}, {'lat': 36.359213, 'lon': 59.5403275}, {'lat': 36.364507, 'lon': 59.5371437}, {'lat': 36.3658332, 'lon': 59.5363659}]"
ناحیه ۲ منطقه ۱۰,11,2,924,1625,4,26,6,214,28,100.0,"[{'lat': 36.3593004, 'lon': 59.5075308}, {'lat': 36.3592583, 'lon': 59.5065973}, {'lat': 36.3591223, 'lon': 59.5056211}, {'lat': 36.3590391, 'lon': 59.5051919}, {'lat': 36.3589257, 'lon': 59.5047802}, {'lat': 36.3586923, 'lon': 59.5042128}, {'lat': 36.3585012, 'lon': 59.5038119}, {'lat': 36.3582744, 'lon': 59.5034458}, {'lat': 36.3579796, 'lon': 59.5030729}, {'lat': 36.3574838, 'lon': 59.5025942}, {'lat': 36.3571134, 'lon': 59.5023769}, {'lat': 36.3564805, 'lon': 59.5020443}, {'lat': 36.3559361, 'lon': 59.5018861}, {'lat': 36.3551239, 'lon': 59.5018083}, {'lat': 36.3520694, 'lon': 59.501591}]"
ناحیه ۱ منطقه ۱۰,51,2,1241,2709,4,30,13,470,38,100.0,"[{'lat': 36.3510607, 'lon': 59.4658001}, {'lat': 36.3520511, 'lon': 59.4668873}, {'lat': 36.3535627, 'lon': 59.4689701}, {'lat': 36.3538125, 'lon': 59.4693503}, {'lat': 36.3544654, 'lon': 59.4701806}, {'lat': 36.3556127, 'lon': 59.4719881}, {'lat': 36.3562949, 'lon': 59.4732138}]"
ناحیه ۲ منطقه ۹,96,0,850,2576,6,60,25,472,54,88.89,"[{'lat': 36.3108771, 'lon': 59.5044744}, {'lat': 36.310447, 'lon': 59.5040707}, {'lat': 36.3095868, 'lon': 59.5034726}, {'lat': 36.3095046, 'lon': 59.5034095}, {'lat': 36.3086325, 'lon': 59.5029469}, {'lat': 36.3081191, 'lon': 59.5025405}, {'lat': 36.3079473, 'lon': 59.5022294}, {'lat': 36.3076871, 'lon': 59.5020014}, {'lat': 36.3061987, 'lon': 59.5008118}, {'lat': 36.3056594, 'lon': 59.5002875}, {'lat': 36.3056053, 'lon': 59.5001091}, {'lat': 36.3051514, 'lon': 59.4994386}, {'lat': 36.3048639, 'lon': 59.4991609}, {'lat': 36.3037432, 'lon': 59.4982772}, {'lat': 36.3034287, 'lon': 59.4978601}, {'lat': 36.3025176, 'lon': 59.4959946}, {'lat': 36.3022852, 'lon': 59.4955641}, {'lat': 36.3019339, 'lon': 59.4950424}, {'lat': 36.3016886, 'lon': 59.494797}, {'lat': 36.3014368, 'lon': 59.4946106}, {'lat': 36.3010228, 'lon': 59.4943719}, {'lat': 36.3000457, 'lon': 59.4939038}, {'lat': 36.2968788, 'lon': 59.4925225}, {'lat': 36.2964649, 'lon': 59.4925413}, {'lat': 36.2949797, 'lon': 59.4919243}, {'lat': 36.2946587, 'lon': 59.4919418}, {'lat': 36.294476, 'lon': 59.4920585}, {'lat': 36.2942209, 'lon': 59.4921081}, {'lat': 36.2940285, 'lon': 59.4920598}, {'lat': 36.2937626, 'lon': 59.4919525}, {'lat': 36.2932038, 'lon': 59.4912726}, {'lat': 36.2924504, 'lon': 59.490189}, {'lat': 36.2916267, 'lon': 59.489914}, {'lat': 36.2909241, 'lon': 59.4895989}, {'lat': 36.2902928, 'lon': 59.489159}, {'lat': 36.2893415, 'lon': 59.4888478}, {'lat': 36.2865753, 'lon': 59.4869501}]"
ناحیه ۱ منطقه ۹,97,3,1379,2390,10,60,34,721,43,100.0,"[{'lat': 36.2766051, 'lon': 59.5549093}, {'lat': 36.2773747, 'lon': 59.5548136}, {'lat': 36.2777989, 'lon': 59.5548083}, {'lat': 36.2785195, 'lon': 59.5549843}, {'lat': 36.2800922, 'lon': 59.5553945}, {'lat': 36.28094, 'lon': 59.5556095}, {'lat': 36.2825726, 'lon': 59.5559678}, {'lat': 36.2851098, 'lon': 59.5564823}, {'lat': 36.2859054, 'lon': 59.5563767}]"
ناحیه ۳ منطقه ۷,64,0,211,459,2,1,0,218,1,77.78,"[{'lat': 36.200244, 'lon': 59.6683647}, {'lat': 36.1998309, 'lon': 59.6718528}, {'lat': 36.2007943, 'lon': 59.6764577}, {'lat': 36.2025753, 'lon': 59.679021}, {'lat': 36.2033765, 'lon': 59.6811073}, {'lat': 36.2049335, 'lon': 59.6840086}, {'lat': 36.2064899, 'lon': 59.6851412}, {'lat': 36.208527, 'lon': 59.687764}, {'lat': 36.2111911, 'lon': 59.691778}, {'lat': 36.2129229, 'lon': 59.6932281}, {'lat': 36.2266951, 'lon': 59.6817309}]"
ناحیه ۲ منطقه ۷,25,0,331,737,4,5,0,196,4,77.78,"[{'lat': 36.2344018, 'lon': 59.6252087}, {'lat': 36.2341985, 'lon': 59.6251389}, {'lat': 36.2341119, 'lon': 59.624868}]"
ناحیه ۱ منطقه ۷,28,1,304,1577,7,85,12,294,33,100.0,"[{'lat': 36.2344018, 'lon': 59.6252087}, {'lat': 36.2341985, 'lon': 59.6251389}, {'lat': 36.2341119, 'lon': 59.624868}]"
ناحیه ۲ منطقه ۱۲,13,1,524,1335,2,14,2,152,6,100.0,"[{'lat': 36.3809188, 'lon': 59.4608795}, {'lat': 36.3845438, 'lon': 59.4560391}, {'lat': 36.3881988, 'lon': 59.4484914}]"
