,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,stores,healthcare,acc
منطقه ۵,24.0,0.0,469.0,3072.0,7.0,50.0,19.0,256.0,1.0,29.0,90.0
منطقه ۶,33.0,0.0,316.0,2282.0,7.0,17.0,6.0,274.0,1.0,13.0,90.0
منطقه ۷,122.0,1.0,850.0,3962.0,21.0,102.0,18.0,862.0,2.0,50.0,100.0
منطقه ۸,55.0,5.0,651.0,2077.0,16.0,199.0,63.0,825.0,1.0,148.0,100.0
منطقه ۹,193.0,3.0,2245.0,4803.0,16.0,150.0,57.0,1158.0,1.0,108.0,100.0
مهدی آباد,3.0,0.0,2.0,361.0,0.0,0.0,0.0,23.0,0.0,0.0,40.0
موسوی قوچانی,0.0,0.0,4.0,125.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0
موعود,2.0,0.0,15.0,430.0,1.0,2.0,0.0,26.0,0.0,2.0,70.0
ناحیه ۱ منطقه ۱۰,51.0,2.0,1241.0,2709.0,4.0,30.0,13.0,470.0,0.0,38.0,90.0
ناحیه ۱ منطقه ۱۱,5.0,1.0,458.0,946.0,1.0,73.0,8.0,136.0,0.0,35.0,90.0
ناحیه ۱ منطقه ۲,60.0,3.0,370.0,3146.0,5.0,58.0,28.0,470.0,0.0,66.0,90.0
ناحیه ۱ منطقه ۳,7.0,0.0,265.0,1379.0,4.0,46.0,8.0,334.0,1.0,18.0,90.0
ناحیه ۱ منطقه ۴,3.0,0.0,135.0,580.0,2.0,25.0,5.0,81.0,0.0,13.0,80.0
ناحیه ۱ منطقه ۵,1.0,0.0,174.0,857.0,4.0,11.0,7.0,72.0,0.0,6.0,80.0
ناحیه ۱ منطقه ۶,6.0,0.0,159.0,1030.0,3.0,11.0,5.0,93.0,1.0,9.0,90.0
ناحیه ۱ منطقه ۷,28.0,1.0,304.0,1577.0,7.0,84.0,12.0,294.0,1.0,33.0,100.0
ناحیه ۱ منطقه ۸,25.0,3.0,153.0,633.0,6.0,105.0,18.0,307.0,1.0,58.0,100.0
ناحیه ۱ منطقه ۹,97.0,3.0,1379.0,2390.0,10.0,60.0,34.0,721.0,0.0,43.0,90.0
ناحیه ۲ منطقه ۱۰,11.0,2.0,924.0,1625.0,4.0,26.0,6.0,214.0,0.0,28.0,90.0
ناحیه ۲ منطقه ۱۱,7.0,0.0,521.0,1204.0,5.0,25.0,13.0,205.0,1.0,26.0,90.0
ناحیه ۲ منطقه ۱۲,13.0,1.0,524.0,1335.0,2.0,14.0,2.0,152.0,0.0,6.0,90.0
ناحیه ۲ منطقه ۲,61.0,0.0,263.0,1561.0,3.0,9.0,1.0,143.0,1.0,8.0,90.0
ناحیه ۲ منطقه ۳,14.0,0.0,342.0,1938.0,5.0,9.0,8.0,179.0,2.0,14.0,90.0
ناحیه ۲ منطقه ۴,3.0,0.0,80.0,507.0,1.0,9.0,3.0,48.0,0.0,10.0,80.0
ناحیه ۲ منطقه ۵,18.0,0.0,219.0,1616.0,5.0,6.0,5.0,112.0,0.0,4.0,80.0
ناحیه ۲ منطقه ۶,25.0,0.0,184.0,1137.0,4.0,3.0,1.0,162.0,1.0,5.0,90.0
ناحیه ۲ منطقه ۷,25.0,0.0,331.0,737.0,4.0,5.0,0.0,196.0,0.0,4.0,70.0
ناحیه ۲ منطقه ۸,31.0,4.0,337.0,1204.0,13.0,95.0,28.0,529.0,0.0,62.0,90.0
ناحیه ۲ منطقه ۹,96.0,0.0,850.0,2576.0,6.0,59.0,25.0,472.0,1.0,54.0,90.0
ناحیه ۳ منطقه ۱۰,22.0,4.0,731.0,2334.0,5.0,27.0,8.0,330.0,0.0,23.0,90.0
ناحیه ۳ منطقه ۱۲,54.0,0.0,125.0,793.0,1.0,2.0,0.0,52.0,0.0,0.0,60.0
ناحیه ۳ منطقه ۲,21.0,2.0,488.0,1991.0,5.0,24.0,4.0,274.0,0.0,10.0,90.0
ناحیه ۳ منطقه ۳,10.0,0.0,288.0,1388.0,4.0,11.0,3.0,193.0,0.0,7.0,80.0
ناحیه ۳ منطقه ۴,14.0,0.0,164.0,1265.0,2.0,1.0,5.0,86.0,0.0,7.0,80.0
ناحیه ۳ منطقه ۶,11.0,0.0,130.0,911.0,2.0,2.0,1.0,110.0,0.0,4.0,80.0
ناحیه ۳ منطقه ۷,64.0,0.0,211.0,459.0,2.0,1.0,0.0,218.0,0.0,1.0,70.0
ناحیه ۴ منطقه ۲,45.0,0.0,311.0,1037.0,2.0,14.0,7.0,129.0,0.0,38.0,80.0
ناحیه ۴ منطقه ۳,10.0,0.0,20.0,380.0,1.0,0.0,1.0,24.0,0.0,0.0,60.0
ناحیه۱ منطقه ۱,50.0,5.0,534.0,1740.0,6.0,106.0,59.0,354.0,0.0,137.0,90.0
ناحیه۲ منطقه ۱,26.0,3.0,182.0,1515.0,2.0,77.0,36.0,303.0,0.0,79.0,90.0
نرگس,0.0,0.0,67.0,86.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0
نه دره,62.0,0.0,44.0,233.0,0.0,10.0,3.0,56.0,0.0,4.0,70.0
نوده,0.0,0.0,5.0,324.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0
نوغان,0.0,0.0,2.0,128.0,2.0,1.0,0.0,30.0,0.0,0.0,50.0
نوفل لوشاتو,36.0,1.0,146.0,490.0,3.0,17.0,8.0,104.0,0.0,9.0,90.0
نوید,22.0,0.0,151.0,744.0,2.0,2.0,0.0,101.0,1.0,0.0,70.0
نکاح,0.0,0.0,14.0,140.0,0.0,0.0,0.0,20.0,0.0,0.0,30.0
نیروی هوایی,65.0,0.0,128.0,693.0,1.0,12.0,4.0,76.0,0.0,10.0,80.0
نیزه,13.0,0.0,70.0,258.0,1.0,1.0,0.0,21.0,0.0,1.0,70.0
هدایت,0.0,0.0,13.0,94.0,0.0,1.0,0.0,4.0,0.0,0.0,40.0
هفده شهریور,2.0,0.0,45.0,383.0,0.0,6.0,1.0,29.0,0.0,3.0,70.0
هنرستان,3.0,0.0,134.0,429.0,1.0,14.0,5.0,50.0,0.0,20.0,80.0
هنرور,0.0,0.0,15.0,325.0,0.0,1.0,0.0,19.0,0.0,1.0,50.0
وحدت,35.0,0.0,70.0,925.0,2.0,5.0,0.0,56.0,1.0,7.0,80.0
وحید,0.0,0.0,34.0,225.0,0.0,2.0,0.0,14.0,0.0,2.0,50.0
ولیعصر,3.0,0.0,107.0,232.0,0.0,3.0,3.0,14.0,0.0,4.0,70.0
وکیل آباد,27.0,0.0,67.0,311.0,0.0,2.0,2.0,145.0,0.0,1.0,70.0
پایین خیابان,7.0,0.0,22.0,28.0,0.0,2.0,0.0,43.0,0.0,2.0,60.0
پروین اعتصامی,7.0,0.0,28.0,98.0,0.0,1.0,0.0,16.0,0.0,0.0,50.0
پنجتن آل عبا,6.0,0.0,66.0,311.0,1.0,0.0,0.0,17.0,0.0,1.0,60.0
پنجتن,3.0,0.0,105.0,342.0,1.0,1.0,5.0,20.0,0.0,2.0,80.0
پورسینا,2.0,0.0,43.0,435.0,1.0,1.0,0.0,28.0,0.0,0.0,60.0
چهاربرج,36.0,0.0,68.0,345.0,0.0,1.0,0.0,23.0,0.0,0.0,50.0
چهارچشمه,19.0,0.0,201.0,649.0,1.0,7.0,1.0,39.0,0.0,5.0,80.0
چهنو,3.0,0.0,30.0,202.0,0.0,5.0,5.0,21.0,0.0,1.0,70.0
کارمندان اول,1.0,0.0,18.0,343.0,0.0,10.0,5.0,22.0,0.0,5.0,70.0
کارمندان دوم,1.0,0.0,42.0,341.0,1.0,0.0,0.0,37.0,0.0,1.0,60.0
کارگران,1.0,0.0,52.0,300.0,1.0,1.0,0.0,24.0,0.0,2.0,70.0
کشاورز,4.0,0.0,68.0,170.0,0.0,0.0,1.0,39.0,0.0,1.0,60.0
کلاته برفی,34.0,0.0,11.0,319.0,0.0,0.0,0.0,19.0,0.0,0.0,40.0
کلاهدوز,11.0,0.0,7.0,338.0,0.0,4.0,3.0,37.0,0.0,2.0,70.0
کوثر,2.0,0.0,273.0,396.0,0.0,16.0,4.0,150.0,0.0,15.0,70.0
کوشش,1.0,1.0,12.0,286.0,1.0,21.0,2.0,58.0,0.0,6.0,90.0
کوهسنگی,9.0,1.0,145.0,368.0,1.0,19.0,10.0,133.0,0.0,20.0,90.0
کوی المهدی,1.0,0.0,94.0,174.0,0.0,4.0,0.0,19.0,0.0,1.0,60.0
کوی دروی,0.0,0.0,46.0,300.0,2.0,0.0,0.0,66.0,1.0,0.0,50.0
کوی سیدی,20.0,0.0,123.0,280.0,1.0,4.0,0.0,74.0,0.0,4.0,70.0
کوی ولیعصر,2.0,0.0,74.0,195.0,1.0,0.0,0.0,13.0,0.0,0.0,50.0
کوی پلیس,19.0,0.0,128.0,384.0,2.0,9.0,1.0,105.0,0.0,3.0,80.0
گاز,3.0,0.0,95.0,307.0,1.0,15.0,2.0,36.0,1.0,3.0,90.0
گلبرگ شمالی,0.0,0.0,5.0,76.0,0.0,0.0,0.0,2.0,0.0,3.0,40.0
گلبرگ,0.0,0.0,8.0,181.0,0.0,2.0,0.0,2.0,0.0,3.0,50.0
گلشور,2.0,0.0,66.0,285.0,2.0,9.0,4.0,46.0,0.0,9.0,80.0
گوهرشاد,1.0,3.0,33.0,314.0,0.0,6.0,7.0,41.0,0.0,6.0,80.0
یاس,0.0,0.0,4.0,138.0,0.0,1.0,0.0,6.0,0.0,0.0,40.0
