zone,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage
????? ? ????? ?,21,2,488,1991,5,24,4,274,10,100
????? ? ????? ?,10,0,288,1388,4,11,3,193,7,88.89
????? ? ????? ?,14,0,164,1265,2,1,5,86,7,88.89
????? ? ????? ?,11,0,130,911,2,2,1,110,4,88.89
????? ? ????? ?,64,0,211,459,2,1,0,218,1,77.78
????? ? ????? ?,45,0,311,1037,2,14,7,129,38,88.89
????? ? ????? ?,10,0,20,380,1,0,1,24,0,66.67
?????? ????? ?,50,5,534,1740,6,106,59,354,137,100
?????? ????? ?,26,3,182,1515,2,77,36,303,79,100
????,0,0,67,86,0,0,0,2,0,33.33
?? ???,62,0,44,233,0,10,3,56,4,77.78
????,0,0,5,324,0,0,0,2,0,33.33
?????,0,0,2,128,2,1,0,30,0,55.56
???? ??????,36,1,146,490,3,17,8,104,9,100
????,22,0,151,744,2,3,0,101,0,66.67
????,0,0,14,140,0,0,0,20,0,33.33
????? ?????,65,0,128,693,1,12,4,76,10,88.89
????,13,0,70,258,1,1,0,21,1,77.78
?????,0,0,13,94,0,1,0,4,0,44.44
???? ??????,2,0,45,383,0,6,1,29,3,77.78
???????,3,0,134,429,1,14,5,50,20,88.89
?????,0,0,15,325,0,1,0,19,1,55.56
????,35,0,70,925,2,6,0,56,7,77.78
????,0,0,34,225,0,2,0,14,2,55.56
??????,3,0,107,232,0,3,3,14,4,77.78
???? ????,27,0,67,311,0,2,2,145,1,77.78
????? ??????,7,0,22,28,0,2,0,43,2,66.67
????? ???????,7,0,28,98,0,1,0,16,0,55.56
????? ?? ???,6,0,66,311,1,0,0,17,1,66.67
?????,3,0,105,342,1,1,5,20,2,88.89
???????,2,0,43,435,1,1,0,28,0,66.67
???????,36,0,68,345,0,1,0,23,0,55.56
????????,19,0,201,649,1,7,1,39,5,88.89
????,3,0,30,202,0,5,5,21,1,77.78
???????? ???,1,0,18,343,0,10,5,22,5,77.78
???????? ???,1,0,42,341,1,0,0,37,1,66.67
???????,1,0,52,300,1,1,0,24,2,77.78
??????,4,0,68,170,0,0,1,39,1,66.67
????? ????,34,0,11,319,0,0,0,19,0,44.44
???????,11,0,7,338,0,4,3,37,2,77.78
????,2,0,273,396,0,16,4,150,15,77.78
????,1,1,12,286,1,21,2,58,6,100
???????,9,1,145,368,1,19,10,133,20,100
??? ??????,1,0,94,174,0,4,0,19,1,66.67
??? ????,0,0,46,300,2,1,0,66,0,55.56
??? ????,20,0,123,280,1,4,0,74,4,77.78
??? ??????,2,0,74,195,1,0,0,13,0,55.56
??? ????,19,0,128,384,2,9,1,105,3,88.89
???,3,0,95,307,1,16,2,36,3,88.89
????? ?????,0,0,5,76,0,0,0,2,3,44.44
?????,0,0,8,181,0,2,0,2,3,55.56
?????,2,0,66,285,2,9,4,46,9,88.89
???????,1,3,33,314,0,6,7,41,6,88.89
???,0,0,4,138,0,1,0,6,0,44.44
percentage,80.63,17.57,97.3,100,60.36,83.33,59.46,99.55,78.83,75.22653153
