,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
بهمن,5,0,121,788,0,5,0,129,6,66.67,"{'minlat': 36.3273831, 'minlon': 59.6062435, 'maxlat': 36.3648893, 'maxlon': 59.6326973}"
قائم,23,0,72,343,1,3,0,49,5,77.78,"{'minlat': 36.3294918, 'minlon': 59.5778328, 'maxlat': 36.3384956, 'maxlon': 59.5937705}"
راهنمایی,0,0,49,166,0,15,8,29,15,66.67,"{'minlat': 36.2971449, 'minlon': 59.5632375, 'maxlat': 36.3073097, 'maxlon': 59.5773822}"
سجاد شهر,13,1,258,533,2,26,7,83,19,100.0,"{'minlat': 36.3100417, 'minlon': 59.5414781, 'maxlat': 36.3261639, 'maxlon': 59.5699889}"
احمد آباد,14,0,120,495,1,53,33,142,82,88.89,"{'minlat': 36.2833058, 'minlon': 59.5570641, 'maxlat': 36.300124, 'maxlon': 59.5859518}"
فلسطین,7,1,46,233,2,7,5,29,6,100.0,"{'minlat': 36.300124, 'minlon': 59.5523129, 'maxlat': 36.3148917, 'maxlon': 59.5672354}"
آبکوه,0,2,10,127,0,4,2,15,2,77.78,"{'minlat': 36.3053319, 'minlon': 59.5626985, 'maxlat': 36.3133853, 'maxlon': 59.5740375}"
ارشاد,5,3,119,220,1,15,1,35,5,100.0,"{'minlat': 36.3095641, 'minlon': 59.5602456, 'maxlat': 36.3241069, 'maxlon': 59.5779052}"
بهشت,1,0,61,282,0,32,21,90,66,77.78,"{'minlat': 36.2910495, 'minlon': 59.5730303, 'maxlat': 36.3034919, 'maxlon': 59.5902273}"
گوهرشاد,2,3,41,323,0,6,7,51,6,88.89,"{'minlat': 36.3034919, 'minlon': 59.5722297, 'maxlat': 36.3236348, 'maxlon': 59.5859143}"
کلاهدوز,10,0,22,344,0,4,3,39,3,77.78,"{'minlat': 36.3009547, 'minlon': 59.5773822, 'maxlat': 36.3164062, 'maxlon': 59.5902776}"
سناباد,2,0,20,186,0,13,14,83,10,77.78,"{'minlat': 36.2925368, 'minlon': 59.5840958, 'maxlat': 36.3033806, 'maxlon': 59.5990925}"
سعد آباد,11,0,56,614,1,12,11,115,7,88.89,"{'minlat': 36.2956033, 'minlon': 59.5853215, 'maxlat': 36.3124625, 'maxlon': 59.6059469}"
طرق,9,0,23,211,0,0,0,53,1,55.56,"{'minlat': 36.1998309, 'minlon': 59.6602866, 'maxlat': 36.2266951, 'maxlon': 59.6932281}"
ایوان,8,0,77,113,0,0,0,24,1,55.56,"{'minlat': 36.199023, 'minlon': 59.6459743, 'maxlat': 36.2086132, 'maxlon': 59.6683647}"
رباط,32,0,19,108,1,1,0,50,0,66.67,"{'minlat': 36.1845764, 'minlon': 59.6041747, 'maxlat': 36.2154452, 'maxlon': 59.6461755}"
عسگریه,0,0,2,39,0,0,0,13,0,33.33,"{'minlat': 36.2306676, 'minlon': 59.624868, 'maxlat': 36.2351547, 'maxlon': 59.6325288}"
انقلاب,2,0,148,300,1,0,1,46,3,77.78,"{'minlat': 36.2154452, 'minlon': 59.6079379, 'maxlat': 36.2400938, 'maxlon': 59.6268596}"
شهرک ابوذر,2,0,10,65,0,0,0,27,0,44.44,"{'minlat': 36.1988196, 'minlon': 59.5994713, 'maxlat': 36.2172835, 'maxlon': 59.6268596}"
شهرک بهارستان,2,0,128,288,0,0,1,25,2,66.67,"{'minlat': 36.2113044, 'minlon': 59.5918267, 'maxlat': 36.2375929, 'maxlon': 59.6193963}"
کوی ولیعصر,2,0,74,195,1,0,0,13,0,55.56,"{'minlat': 36.2303236, 'minlon': 59.5841514, 'maxlat': 36.2472324, 'maxlon': 59.601966}"
کوی سیدی,20,0,214,289,1,4,0,76,5,77.78,"{'minlat': 36.2317991, 'minlon': 59.5961631, 'maxlat': 36.2544959, 'maxlon': 59.624868}"
کوی المهدی,1,0,107,175,0,4,0,20,1,66.67,"{'minlat': 36.2414534, 'minlon': 59.5899027, 'maxlat': 36.2555578, 'maxlon': 59.6064144}"
ایمان,0,0,29,76,0,3,0,18,0,44.44,"{'minlat': 36.2459691, 'minlon': 59.5816067, 'maxlat': 36.2571497, 'maxlon': 59.6019351}"
کوی پلیس,19,0,222,399,2,9,1,106,3,88.89,"{'minlat': 36.2341119, 'minlon': 59.5988444, 'maxlat': 36.2623772, 'maxlon': 59.6252087}"
پروین اعتصامی,7,0,69,98,0,1,0,17,0,55.56,"{'minlat': 36.2524713, 'minlon': 59.6087587, 'maxlat': 36.2619322, 'maxlon': 59.6198295}"
مقدم,0,0,11,113,0,6,0,8,0,44.44,"{'minlat': 36.2579651, 'minlon': 59.6044645, 'maxlat': 36.267787, 'maxlon': 59.6150351}"
کارگران,1,0,55,301,1,1,0,27,2,77.78,"{'minlat': 36.2557006, 'minlon': 59.6160181, 'maxlat': 36.2708723, 'maxlon': 59.6314564}"
هفده شهریور,2,0,47,387,0,6,1,32,3,77.78,"{'minlat': 36.2609384, 'minlon': 59.6091745, 'maxlat': 36.2765014, 'maxlon': 59.6258223}"
کوشش,1,1,13,295,1,21,2,62,6,100.0,"{'minlat': 36.2558809, 'minlon': 59.5932717, 'maxlat': 36.2736422, 'maxlon': 59.6091745}"
عنصری,4,1,42,349,2,25,1,51,14,100.0,"{'minlat': 36.267787, 'minlon': 59.6034737, 'maxlat': 36.2838522, 'maxlon': 59.6175466}"
شهید بهشتی,4,0,55,419,6,23,12,129,28,88.89,"{'minlat': 36.2661716, 'minlon': 59.5632791, 'maxlat': 36.289408, 'maxlon': 59.5932623}"
امام خمینی,0,0,37,214,4,21,6,64,10,77.78,"{'minlat': 36.2628724, 'minlon': 59.5786804, 'maxlat': 36.2838002, 'maxlon': 59.5958546}"
خرمشهر,0,0,15,198,1,12,1,34,10,77.78,"{'minlat': 36.2615683, 'minlon': 59.585005, 'maxlat': 36.2749264, 'maxlon': 59.5986816}"
امام رضا (ع),0,0,13,185,0,26,4,44,5,66.67,"{'minlat': 36.2680562, 'minlon': 59.5919761, 'maxlat': 36.2812164, 'maxlon': 59.6034737}"
کوهسنگی,11,1,145,369,1,19,11,138,23,100.0,"{'minlat': 36.2723337, 'minlon': 59.5548083, 'maxlat': 36.2910495, 'maxlon': 59.5876574}"
آبادگران,11,0,77,270,6,4,4,170,6,88.89,"{'minlat': 36.2521036, 'minlon': 59.5274363, 'maxlat': 36.2766051, 'maxlon': 59.590989}"
ترمینال مسافربری امام رضا,0,0,0,84,1,0,0,80,0,33.33,"{'minlat': 36.2558809, 'minlon': 59.5830725, 'maxlat': 36.2639473, 'maxlon': 59.5989006}"
ده دی,11,3,55,250,3,46,7,119,37,100.0,"{'minlat': 36.2797072, 'minlon': 59.5859518, 'maxlat': 36.2925368, 'maxlon': 59.6063187}"
جنت,12,3,28,105,3,32,3,85,29,100.0,"{'minlat': 36.2841024, 'minlon': 59.5902273, 'maxlat': 36.2949381, 'maxlon': 59.6020954}"
سلام,1,0,6,133,0,17,1,30,11,77.78,"{'minlat': 36.2736422, 'minlon': 59.5973553, 'maxlat': 36.2818175, 'maxlon': 59.607954}"
دانش,3,0,6,167,1,7,1,16,4,88.89,"{'minlat': 36.2788585, 'minlon': 59.5995748, 'maxlat': 36.2861807, 'maxlon': 59.6104833}"
آیت الله خامنه ای,7,0,44,137,0,7,1,26,5,77.78,"{'minlat': 36.2818078, 'minlon': 59.6026808, 'maxlat': 36.2909554, 'maxlon': 59.6122353}"
سراب,4,0,59,122,1,19,2,75,3,88.89,"{'minlat': 36.2909554, 'minlon': 59.5971689, 'maxlat': 36.2979703, 'maxlon': 59.6102006}"
شهید بصیر,0,0,3,157,0,1,0,10,0,44.44,"{'minlat': 36.3878799, 'minlon': 59.5101929, 'maxlat': 36.4022119, 'maxlon': 59.5307574}"
شهرک مطهری,0,0,1,76,0,0,0,2,0,33.33,"{'minlat': 36.3859285, 'minlon': 59.5234457, 'maxlat': 36.3931115, 'maxlon': 59.532836}"
مشهدقلی,1,0,1,83,0,0,0,2,0,44.44,"{'minlat': 36.3833005, 'minlon': 59.5256442, 'maxlat': 36.3909311, 'maxlon': 59.5346318}"
توس,1,0,0,134,0,0,0,2,0,33.33,"{'minlat': 36.3762947, 'minlon': 59.5295282, 'maxlat': 36.3883635, 'maxlon': 59.5418711}"
مهدی آباد,2,0,5,365,0,0,0,30,2,55.56,"{'minlat': 36.2703044, 'minlon': 59.6780686, 'maxlat': 36.2847581, 'maxlon': 59.705013}"
حضرت حجت,11,0,62,329,2,0,0,46,0,55.56,"{'minlat': 36.3516093, 'minlon': 59.5500109, 'maxlat': 36.3672796, 'maxlon': 59.5737907}"
وحدت,35,0,78,1039,0,6,0,66,7,66.67,"{'minlat': 36.3362895, 'minlon': 59.576143, 'maxlat': 36.3755849, 'maxlon': 59.6225393}"
نوید,23,0,159,829,2,3,0,111,0,66.67,"{'minlat': 36.3452517, 'minlon': 59.5480044, 'maxlat': 36.3714845, 'maxlon': 59.6034419}"
فدک,5,0,41,293,0,4,0,14,0,55.56,"{'minlat': 36.3391161, 'minlon': 59.5655724, 'maxlat': 36.3499005, 'maxlon': 59.5849983}"
امیر,12,0,62,357,0,7,0,27,6,66.67,"{'minlat': 36.3315986, 'minlon': 59.5735399, 'maxlat': 36.3461091, 'maxlon': 59.5903212}"
بهاران,9,0,57,122,0,0,0,8,0,44.44,"{'minlat': 36.3389352, 'minlon': 59.5471437, 'maxlat': 36.3481874, 'maxlon': 59.5683512}"
جانباز,22,0,119,386,0,5,2,45,3,77.78,"{'minlat': 36.3241069, 'minlon': 59.5536768, 'maxlat': 36.3449684, 'maxlon': 59.5778328}"
