,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
امام رضا (ع),0,0,8,71,0,8,2,31,3,66.67,"[(36.2797072, 59.5973553), (36.2791731, 59.597885), (36.276174, 59.6008623), (36.274535, 59.6024984), (36.2736422, 59.6034737), (36.2797072, 59.5973553), (36.2812164, 59.5958546), (36.2797072, 59.5973553), (36.2804672, 59.5966016), (36.2812164, 59.5958546), (36.2749264, 59.5919761), (36.2755902, 59.5924321), (36.2775579, 59.5936605), (36.2812164, 59.5958546), (36.279984, 59.5950848), (36.2749264, 59.5919761), (36.2749264, 59.5919761), (36.2740971, 59.592703), (36.2732301, 59.5935601), (36.2680562, 59.5986816), (36.2688218, 59.5979802), (36.2749264, 59.5919761)]"
کوهسنگی,1,0,50,137,0,6,5,60,7,77.78,"[(36.2768444, 59.5632791), (36.2758151, 59.5637512), (36.2723337, 59.5700169), (36.289408, 59.5876574), (36.2798034, 59.5643601), (36.2768444, 59.5632791), (36.2910495, 59.5859518), (36.289408, 59.5876574), (36.2905814, 59.5864843), (36.2910495, 59.5859518), (36.2864007, 59.5570641), (36.2834663, 59.5597406), (36.2833058, 59.5635863), (36.2910495, 59.5859518), (36.2864007, 59.5570641), (36.2777989, 59.5548083), (36.2773747, 59.5548136), (36.2766051, 59.5549093), (36.2851098, 59.5564823), (36.2859054, 59.5563767), (36.2777989, 59.5548083), (36.2766051, 59.5549093), (36.2752529, 59.5550609), (36.2747642, 59.5552191), (36.2741998, 59.5555812), (36.2736333, 59.5562115), (36.27327, 59.5568821), (36.2730343, 59.5578074), (36.2723337, 59.5700169), (36.2766051, 59.5549093)]"
ترمینال مسافربری امام رضا,0,0,0,28,1,0,0,46,0,33.33,"[(36.2639473, 59.585005), (36.2625848, 59.5879501), (36.2615683, 59.5904714), (36.2617398, 59.5932717), (36.2619749, 59.5924643), (36.2639473, 59.585005), (36.2617398, 59.5932717), (36.2594751, 59.5940883), (36.2558809, 59.5988444), (36.2563647, 59.5989006), (36.2572833, 59.5981336), (36.2617398, 59.5932717), (36.2571497, 59.590989), (36.2558809, 59.5988444), (36.2566112, 59.5965064), (36.256901, 59.5944384), (36.2571497, 59.590989), (36.2628724, 59.5830725), (36.2617889, 59.5842151), (36.2586854, 59.5878374), (36.258135, 59.5885589), (36.2575542, 59.5896801), (36.2571497, 59.590989), (36.2628724, 59.5830725)]"
ده دی,5,2,17,81,1,24,4,54,23,100.0,"[(36.2821473, 59.5995748), (36.2820143, 59.5999664), (36.2818175, 59.6006852), (36.2861807, 59.6026808), (36.2821473, 59.5995748), (36.2861807, 59.6026808), (36.2909554, 59.6063187), (36.2898042, 59.6054301), (36.2878735, 59.6039468), (36.2861807, 59.6026808), (36.2914948, 59.6020954), (36.2914164, 59.6025098), (36.2909554, 59.6063187), (36.2909932, 59.606106), (36.2914948, 59.6020954), (36.2925368, 59.5902273), (36.2917354, 59.5907461), (36.2885848, 59.5927995), (36.2861915, 59.5953396), (36.2841024, 59.5975611), (36.2843807, 59.5978086), (36.2914948, 59.6020954), (36.2925368, 59.5902273), (36.2910495, 59.5859518), (36.289408, 59.5876574), (36.2905814, 59.5864843), (36.2910495, 59.5859518), (36.289408, 59.5876574), (36.2869103, 59.5901361), (36.2854023, 59.5916328), (36.2838002, 59.5932623), (36.2878627, 59.5892121), (36.289408, 59.5876574), (36.2812164, 59.5958546), (36.2797072, 59.5973553), (36.2804672, 59.5966016), (36.2812164, 59.5958546), (36.2797072, 59.5973553), (36.2818175, 59.6006852), (36.2816921, 59.6004559), (36.2805051, 59.5985998), (36.2797072, 59.5973553)]"
جنت,4,2,9,39,0,15,2,22,19,88.89,"[(36.2949381, 59.5971689), (36.2914948, 59.6020954), (36.2942923, 59.5983759), (36.2949381, 59.5971689), (36.2925368, 59.5902273), (36.2917354, 59.5907461), (36.2885848, 59.5927995), (36.2861915, 59.5953396), (36.2841024, 59.5975611), (36.2843807, 59.5978086), (36.2914948, 59.6020954), (36.2925368, 59.5902273)]"
سلام,0,0,3,58,0,9,0,11,3,55.56,"[(36.2818175, 59.6006852), (36.2810564, 59.602544), (36.2789256, 59.6077555), (36.2788585, 59.607954), (36.2818175, 59.6006852), (36.2797072, 59.5973553), (36.2818175, 59.6006852), (36.2816921, 59.6004559), (36.2805051, 59.5985998), (36.2797072, 59.5973553), (36.2797072, 59.5973553), (36.2791731, 59.597885), (36.276174, 59.6008623), (36.274535, 59.6024984), (36.2736422, 59.6034737), (36.2797072, 59.5973553)]"
دانش,1,0,4,59,0,3,1,8,2,77.78,"[(36.2861807, 59.6026808), (36.2859635, 59.6027025), (36.2857315, 59.6029229), (36.2852364, 59.603696), (36.2848007, 59.6045054), (36.2818078, 59.6104833), (36.2843137, 59.6068382), (36.284505, 59.6064419), (36.2861807, 59.6026808), (36.2821473, 59.5995748), (36.2820143, 59.5999664), (36.2818175, 59.6006852), (36.2861807, 59.6026808), (36.2821473, 59.5995748), (36.2818175, 59.6006852), (36.2810564, 59.602544), (36.2789256, 59.6077555), (36.2788585, 59.607954), (36.2818175, 59.6006852)]"
آیت الله خامنه ای,4,0,7,40,0,2,1,11,1,77.78,"[(36.2909554, 59.6063187), (36.2838522, 59.6122353), (36.2881847, 59.6086612), (36.2909554, 59.6063187), (36.2861807, 59.6026808), (36.2909554, 59.6063187), (36.2898042, 59.6054301), (36.2878735, 59.6039468), (36.2861807, 59.6026808), (36.2861807, 59.6026808), (36.2859635, 59.6027025), (36.2857315, 59.6029229), (36.2852364, 59.603696), (36.2848007, 59.6045054), (36.2818078, 59.6104833), (36.2843137, 59.6068382), (36.284505, 59.6064419), (36.2861807, 59.6026808)]"
سراب,0,0,1,3,0,0,0,1,0,33.33,"[(36.2949381, 59.5971689), (36.2914948, 59.6020954), (36.2942923, 59.5983759), (36.2949381, 59.5971689), (36.2914948, 59.6020954), (36.2914164, 59.6025098), (36.2909554, 59.6063187), (36.2909932, 59.606106), (36.2914948, 59.6020954), (36.2909554, 59.6063187), (36.2939669, 59.6102006), (36.2921808, 59.607842), (36.2911992, 59.606547), (36.2909554, 59.6063187)]"
شهرک مطهری,0,0,0,12,0,0,0,0,0,11.11,"[(36.3878799, 59.5234457), (36.3931115, 59.5307574), (36.3909912, 59.527646), (36.3878799, 59.5234457), (36.3878799, 59.5234457), (36.3859285, 59.5256442), (36.3869328, 59.5245251), (36.3878799, 59.5234457), (36.3859285, 59.5256442), (36.3909311, 59.532836), (36.3884866, 59.529317), (36.3859285, 59.5256442)]"
مشهدقلی,0,0,0,8,0,0,0,1,0,22.22,"[(36.3833005, 59.5295282), (36.3865109, 59.5327757), (36.3883635, 59.5346318), (36.3847457, 59.5309706), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3847816, 59.5271368), (36.3839435, 59.5283863), (36.3833005, 59.5295282), (36.3859285, 59.5256442), (36.3859285, 59.5256442), (36.3909311, 59.532836), (36.3884866, 59.529317), (36.3859285, 59.5256442)]"
توس,0,0,0,21,0,0,0,0,0,11.11,"[(36.3832585, 59.5382326), (36.3762947, 59.5418047), (36.376373, 59.5418711), (36.3804928, 59.5398259), (36.382473, 59.5387262), (36.3832585, 59.5382326), (36.3833005, 59.5295282), (36.3865109, 59.5327757), (36.3883635, 59.5346318), (36.3847457, 59.5309706), (36.3833005, 59.5295282), (36.3833005, 59.5295282), (36.3825443, 59.5308247), (36.3762947, 59.5418047), (36.3765589, 59.5415574), (36.3769729, 59.5409114), (36.3833005, 59.5295282)]"
مهدی آباد,0,0,4,180,0,0,0,9,0,33.33,"[(36.28033, 59.68297), (36.2703952, 59.6920176), (36.2722124, 59.705013), (36.2847581, 59.7049426), (36.28033, 59.68297), (36.2789591, 59.6780686), (36.28033, 59.68297), (36.2791766, 59.6788461), (36.2789591, 59.6780686), (36.2750014, 59.6841268), (36.2738344, 59.6858883), (36.2732019, 59.6869196), (36.2715782, 59.6896166), (36.2704218, 59.6915732), (36.2750014, 59.6841268)]"
وحدت,8,0,11,222,0,0,0,29,0,44.44,"[(36.3755849, 59.6040746), (36.3648893, 59.6225393), (36.3734829, 59.611024), (36.3755849, 59.6040746), (36.3497493, 59.576143), (36.3503196, 59.5775244), (36.3511189, 59.5788574), (36.3523503, 59.5808771), (36.3545904, 59.5845035), (36.3591698, 59.5906484), (36.360537, 59.5923892), (36.3714845, 59.6034419), (36.3663494, 59.5969543), (36.3497493, 59.576143), (36.3497493, 59.576143), (36.3461091, 59.5849983), (36.3485914, 59.5801717), (36.3493216, 59.5781279), (36.3497493, 59.576143), (36.3434367, 59.5903212), (36.3399398, 59.5982627), (36.3410126, 59.595868), (36.3434367, 59.5903212), (36.3399398, 59.5982627), (36.3362895, 59.6062435), (36.3377113, 59.603228), (36.3392582, 59.599784), (36.3399398, 59.5982627), (36.3362895, 59.6062435), (36.3648893, 59.6225393), (36.3590943, 59.614411), (36.3362895, 59.6062435)]"
فدک,0,0,17,168,0,3,0,9,0,44.44,"[(36.3391161, 59.5735399), (36.3414145, 59.5774707), (36.3426049, 59.5794247), (36.3452428, 59.5837364), (36.3454999, 59.5841521), (36.3461091, 59.5849983), (36.3391161, 59.5735399), (36.3497493, 59.576143), (36.3461091, 59.5849983), (36.3485914, 59.5801717), (36.3493216, 59.5781279), (36.3497493, 59.576143), (36.3481874, 59.5655724), (36.3497493, 59.576143), (36.3499005, 59.573831), (36.3497277, 59.5710629), (36.3488938, 59.5677048), (36.3481874, 59.5655724), (36.3449684, 59.5683512), (36.3391161, 59.5735399), (36.339565, 59.5731792), (36.342485, 59.5705707), (36.3449684, 59.5683512)]"
امیر,0,0,19,74,0,1,0,5,0,44.44,"[(36.3384956, 59.5851928), (36.3422268, 59.5891195), (36.3434367, 59.5903212), (36.3384956, 59.5851928), (36.3391161, 59.5735399), (36.3315986, 59.5778328), (36.3326974, 59.5772923), (36.3375341, 59.5745029), (36.3391161, 59.5735399), (36.3391161, 59.5735399), (36.3414145, 59.5774707), (36.3426049, 59.5794247), (36.3452428, 59.5837364), (36.3454999, 59.5841521), (36.3461091, 59.5849983), (36.3391161, 59.5735399)]"
بهاران,0,0,5,24,0,0,0,2,0,33.33,"[(36.3452517, 59.5480044), (36.3479368, 59.564741), (36.3481874, 59.5655724), (36.3472001, 59.559567), (36.3452517, 59.5480044), (36.340026, 59.5471437), (36.3435371, 59.5479842), (36.3444469, 59.5480593), (36.3452517, 59.5480044), (36.340026, 59.5471437), (36.3389352, 59.5536768), (36.3428231, 59.5641267), (36.3449684, 59.5683512), (36.3422009, 59.5590426), (36.3419427, 59.5582996), (36.3408862, 59.5562504), (36.3398405, 59.5543045), (36.3397055, 59.5541047), (36.3394689, 59.553933), (36.3389352, 59.5536768)]"
جانباز,18,0,15,100,0,1,1,16,0,66.67,"[(36.3389352, 59.5536768), (36.3428231, 59.5641267), (36.3449684, 59.5683512), (36.3422009, 59.5590426), (36.3419427, 59.5582996), (36.3408862, 59.5562504), (36.3398405, 59.5543045), (36.3397055, 59.5541047), (36.3394689, 59.553933), (36.3389352, 59.5536768), (36.3389352, 59.5536768), (36.3305934, 59.5615315), (36.3319324, 59.5605111), (36.3374606, 59.5562571), (36.3385388, 59.5546693), (36.3388013, 59.554224), (36.3389352, 59.5536768), (36.3305934, 59.5615315), (36.3245109, 59.5634428), (36.3270122, 59.5637029), (36.3279576, 59.5635112), (36.329011, 59.5627373), (36.3305934, 59.5615315), (36.3391161, 59.5735399), (36.3315986, 59.5778328), (36.3326974, 59.5772923), (36.3375341, 59.5745029), (36.3391161, 59.5735399), (36.3449684, 59.5683512), (36.3391161, 59.5735399), (36.339565, 59.5731792), (36.342485, 59.5705707), (36.3449684, 59.5683512)]"
شهید فرامرز عباسی,1,0,7,40,1,2,3,7,3,88.89,"[(36.3261639, 59.543501), (36.3254486, 59.5480326), (36.325304, 59.5504701), (36.3261639, 59.543501), (36.325304, 59.5504701), (36.3340208, 59.552207), (36.3334677, 59.551692), (36.3296647, 59.5508551), (36.325304, 59.5504701), (36.3340208, 59.552207), (36.334332, 59.5525932), (36.3347295, 59.5528936), (36.3352481, 59.5530224), (36.3389352, 59.5536768), (36.338515, 59.5531297), (36.3372359, 59.5528292), (36.3340208, 59.552207)]"
هدایت,0,0,2,1,0,0,0,0,0,22.22,"[(36.3318039, 59.6008649), (36.3360886, 59.6049365), (36.3355376, 59.6044032), (36.3318039, 59.6008649), (36.3380656, 59.5974612), (36.3373051, 59.5996499), (36.3367865, 59.601345), (36.3360886, 59.6049365), (36.3365791, 59.603405), (36.3380656, 59.5974612)]"
قائم,1,0,45,114,0,0,0,16,4,55.56,"[(36.3240809, 59.6308815), (36.3227756, 59.6326545), (36.3191666, 59.6398656), (36.3240809, 59.6308815), (36.3191666, 59.6398656), (36.323667, 59.6415225), (36.3257837, 59.6422823), (36.3253629, 59.6420851), (36.3214779, 59.6404383), (36.3207986, 59.6402367), (36.3200301, 59.6400568), (36.3191666, 59.6398656), (36.3299283, 59.6345173), (36.3257837, 59.6422823), (36.3271883, 59.641141), (36.3277447, 59.6402612), (36.3299283, 59.6345173), (36.3240809, 59.6308815), (36.3251873, 59.6317076), (36.3285238, 59.633789), (36.3299283, 59.6345173), (36.3285929, 59.6329093), (36.3254812, 59.6310639), (36.3240809, 59.6308815)]"
شفا,0,0,2,29,0,1,0,2,0,44.44,"[(36.3286706, 59.6056956), (36.3255976, 59.6231243), (36.3275838, 59.6181411), (36.3286706, 59.6056956), (36.3286706, 59.6056956), (36.3219301, 59.6154682), (36.3216702, 59.6158853), (36.3241122, 59.6128893), (36.3244936, 59.612385), (36.3286706, 59.6056956)]"
عامل,4,0,13,83,1,0,0,10,0,55.56,"[(36.3095457, 59.5988868), (36.3052627, 59.6032226), (36.304316, 59.6053764), (36.3031026, 59.609197), (36.3095457, 59.5988868), (36.3141126, 59.5936793), (36.3129239, 59.5947348), (36.312322, 59.5954227), (36.3095457, 59.5988868), (36.3106102, 59.5977348), (36.3141126, 59.5936793), (36.3200526, 59.5895916), (36.3172042, 59.5913096), (36.3154774, 59.5924897), (36.3148636, 59.5929766), (36.3141126, 59.5936793), (36.3200526, 59.5895916), (36.3164062, 59.5859143), (36.3200526, 59.5895916), (36.3196636, 59.5891464), (36.3183972, 59.5878482), (36.3164062, 59.5859143), (36.3164062, 59.5859143), (36.3140747, 59.5884698), (36.3124625, 59.5902776), (36.3164062, 59.5859143)]"
شهید مطهری,0,0,3,29,0,0,0,5,0,33.33,"[(36.3154388, 59.5959433), (36.3174593, 59.5993924), (36.3190499, 59.6019244), (36.32058, 59.6037939), (36.3154388, 59.5959433), (36.3141126, 59.5936793), (36.3129239, 59.5947348), (36.312322, 59.5954227), (36.3095457, 59.5988868), (36.3106102, 59.5977348), (36.3141126, 59.5936793), (36.3095457, 59.5988868), (36.3143125, 59.6055883), (36.3166142, 59.608815), (36.3095457, 59.5988868)]"
ایثارگران,1,0,19,213,0,3,0,20,0,55.56,"[(36.3318039, 59.6008649), (36.3360886, 59.6049365), (36.3355376, 59.6044032), (36.3318039, 59.6008649), (36.3318039, 59.6008649), (36.3286706, 59.6056956), (36.3302027, 59.6033755), (36.3318039, 59.6008649), (36.3286706, 59.6056956), (36.3255976, 59.6231243), (36.3275838, 59.6181411), (36.3286706, 59.6056956), (36.3255976, 59.6231243), (36.3266481, 59.6237442), (36.3273831, 59.6240169), (36.3255976, 59.6231243)]"
هنرور,0,0,5,129,0,1,0,1,1,55.56,"[(36.3166142, 59.608815), (36.3175841, 59.6102433), (36.3216702, 59.6158853), (36.3166142, 59.608815), (36.3286706, 59.6056956), (36.3219301, 59.6154682), (36.3216702, 59.6158853), (36.3241122, 59.6128893), (36.3244936, 59.612385), (36.3286706, 59.6056956), (36.3229335, 59.6005654), (36.3243056, 59.6021175), (36.3269506, 59.6047139), (36.3286706, 59.6056956), (36.3284892, 59.6053362), (36.3273482, 59.6041345), (36.3229335, 59.6005654)]"
سمزقند,0,0,1,0,0,3,0,6,2,44.44,"[(36.3166142, 59.608815), (36.3175841, 59.6102433), (36.3216702, 59.6158853), (36.3166142, 59.608815), (36.3166142, 59.608815), (36.3115763, 59.6144362), (36.3124365, 59.6135384), (36.3153326, 59.6102822), (36.3166142, 59.608815)]"
حجت,1,0,3,86,0,0,0,3,0,44.44,"[(36.3164219, 59.5949936), (36.3154388, 59.5959433), (36.3247999, 59.5980051), (36.3222483, 59.5967316), (36.3192574, 59.595294), (36.3188943, 59.5951438), (36.3164219, 59.5949936), (36.3265076, 59.5956387), (36.3247999, 59.5980051), (36.3253645, 59.5972306), (36.3265076, 59.5956387), (36.3200526, 59.5895916), (36.3208868, 59.5904607), (36.3265076, 59.5956387), (36.3200526, 59.5895916), (36.3200526, 59.5895916), (36.3172042, 59.5913096), (36.3154774, 59.5924897), (36.3148636, 59.5929766), (36.3141126, 59.5936793), (36.3200526, 59.5895916)]"
نکاح,0,0,12,36,0,0,0,2,0,33.33,"[(36.3164219, 59.5949936), (36.3154388, 59.5959433), (36.3247999, 59.5980051), (36.3222483, 59.5967316), (36.3192574, 59.595294), (36.3188943, 59.5951438), (36.3164219, 59.5949936), (36.3154388, 59.5959433), (36.3174593, 59.5993924), (36.3190499, 59.6019244), (36.32058, 59.6037939), (36.3154388, 59.5959433)]"
یاس,0,0,1,50,0,0,0,1,0,33.33,"[(36.3265076, 59.5956387), (36.3247999, 59.5980051), (36.3253645, 59.5972306), (36.3265076, 59.5956387), (36.3229335, 59.6005654), (36.3243056, 59.6021175), (36.3269506, 59.6047139), (36.3286706, 59.6056956), (36.3284892, 59.6053362), (36.3273482, 59.6041345), (36.3229335, 59.6005654), (36.3318039, 59.6008649), (36.3286706, 59.6056956), (36.3302027, 59.6033755), (36.3318039, 59.6008649), (36.3265076, 59.5956387), (36.3294853, 59.5984161), (36.3289775, 59.597881), (36.3265076, 59.5956387)]"
فتح المبین,0,0,9,6,1,1,1,2,30,77.78,"[(36.3294918, 59.5794153), (36.3304901, 59.5900865), (36.3308402, 59.5859599), (36.3308056, 59.5853162), (36.3294918, 59.5794153), (36.3236348, 59.5779052), (36.3290424, 59.5793938), (36.3294918, 59.5794153), (36.3236348, 59.5779052)]"
خاتم الانبیا,1,1,104,134,0,2,2,10,1,88.89,"[(36.380253, 59.5148767), (36.3757116, 59.5184514), (36.3704875, 59.5225927), (36.3679822, 59.5245977), (36.3787393, 59.5160964), (36.380253, 59.5148767), (36.3679822, 59.5245977), (36.3660988, 59.5260474), (36.363589, 59.527992), (36.3679822, 59.5245977), (36.363589, 59.527992), (36.3640091, 59.5322245), (36.3641182, 59.5328951), (36.3643364, 59.5334919), (36.3658332, 59.5363659), (36.3640837, 59.5291413), (36.3639681, 59.5287873), (36.363589, 59.527992), (36.3835242, 59.5199128), (36.3658332, 59.5363659), (36.3700339, 59.5338741), (36.3705868, 59.5334744), (36.371576, 59.5326886), (36.3813242, 59.5227241), (36.3837383, 59.5202512), (36.3835242, 59.5199128), (36.380253, 59.5148767), (36.3827071, 59.5190836), (36.3835242, 59.5199128), (36.380253, 59.5148767)]"
موسوی قوچانی,0,0,0,4,0,0,0,0,1,22.22,"[(36.3301065, 59.5906268), (36.3294853, 59.5984161), (36.3301833, 59.5919144), (36.3302092, 59.5911205), (36.3301065, 59.5906268)]"
گلبرگ,0,0,0,6,0,0,0,1,1,33.33,"[(36.3240117, 59.5858097), (36.3200526, 59.5895916), (36.3205886, 59.5891142), (36.3240117, 59.5858097), (36.3200526, 59.5895916), (36.3208868, 59.5904607), (36.3265076, 59.5956387), (36.3200526, 59.5895916), (36.3301065, 59.5906268), (36.3265076, 59.5956387), (36.3272445, 59.5946221), (36.3290607, 59.5920995), (36.3301065, 59.5906268)]"
زمرد,21,0,4,56,0,0,0,2,4,55.56,"[(36.3434367, 59.5903212), (36.3399398, 59.5982627), (36.3410126, 59.595868), (36.3434367, 59.5903212), (36.3384956, 59.5851928), (36.3422268, 59.5891195), (36.3434367, 59.5903212), (36.3384956, 59.5851928), (36.3384956, 59.5851928), (36.3378582, 59.5864534), (36.3375989, 59.587183), (36.3362334, 59.5937705), (36.3367174, 59.5927834), (36.3374606, 59.59023), (36.3384956, 59.5851928), (36.3380656, 59.5974612), (36.3399398, 59.5982627), (36.3397422, 59.5981049), (36.3393792, 59.5979118), (36.3388089, 59.5976329), (36.3380656, 59.5974612)]"
آپارتمان های مرتفع,0,0,1,0,0,0,0,0,0,11.11,"[(36.3236348, 59.5779052), (36.3290424, 59.5793938), (36.3294918, 59.5794153), (36.3236348, 59.5779052)]"
پنجتن,0,0,17,110,0,0,5,3,0,44.44,"[(36.3134718, 59.675205), (36.3132384, 59.6753204), (36.3108285, 59.6765435), (36.3099726, 59.6770504), (36.3074005, 59.6786195), (36.3058221, 59.6813835), (36.3134718, 59.675205), (36.3070373, 59.661161), (36.3073507, 59.661916), (36.3121274, 59.6723565), (36.3125597, 59.6732752), (36.312095, 59.6721674), (36.3115968, 59.6710436), (36.3108966, 59.669508), (36.3070373, 59.661161), (36.2973878, 59.6619829), (36.3013935, 59.6652433), (36.3022171, 59.6656617), (36.3032222, 59.6657395), (36.3039485, 59.6654069), (36.3045278, 59.6650529), (36.3049645, 59.6645996), (36.3053903, 59.6639183), (36.3063543, 59.6623103), (36.2973878, 59.6619829), (36.2973878, 59.6619829), (36.2971069, 59.6626228), (36.2971032, 59.6628756), (36.2972371, 59.6632986), (36.3024213, 59.6727193), (36.2973878, 59.6619829), (36.3024213, 59.6727193), (36.3046786, 59.6789859), (36.3058221, 59.6813835), (36.3027909, 59.673502), (36.3024213, 59.6727193)]"
رده,0,0,14,65,0,0,0,3,1,44.44,"[(36.3070373, 59.661161), (36.3073507, 59.661916), (36.3121274, 59.6723565), (36.3125597, 59.6732752), (36.312095, 59.6721674), (36.3115968, 59.6710436), (36.3108966, 59.669508), (36.3070373, 59.661161), (36.320111, 59.6673381), (36.3163117, 59.6699882), (36.3127196, 59.6729735), (36.3125597, 59.6732752), (36.3144444, 59.6723109), (36.3177197, 59.6703462), (36.3179315, 59.6702135), (36.3183702, 59.6699318), (36.3190942, 59.6694316), (36.3192752, 59.6692834), (36.320111, 59.6673381), (36.3115926, 59.6534938), (36.3104935, 59.6552896), (36.3082607, 59.659034), (36.309229, 59.6574569), (36.3115926, 59.6534938)]"
پنجتن آل عبا,0,0,0,11,0,0,0,3,0,22.22,"[(36.3134718, 59.675205), (36.3147869, 59.6780469), (36.3243942, 59.6985108), (36.3251284, 59.6998804), (36.3134718, 59.675205), (36.3134718, 59.675205), (36.3132384, 59.6753204), (36.3108285, 59.6765435), (36.3099726, 59.6770504), (36.3074005, 59.6786195), (36.3058221, 59.6813835), (36.3134718, 59.675205), (36.3058221, 59.6813835), (36.3061331, 59.6824978), (36.3080511, 59.6893406), (36.3064869, 59.6837147), (36.3058221, 59.6813835)]"
شهید قربانی,0,0,10,50,0,0,0,3,1,44.44,"[(36.3134718, 59.675205), (36.3147869, 59.6780469), (36.3243942, 59.6985108), (36.3251284, 59.6998804), (36.3134718, 59.675205), (36.320111, 59.6673381), (36.3288348, 59.6813656), (36.3321467, 59.6839915), (36.320111, 59.6673381), (36.320111, 59.6673381), (36.3163117, 59.6699882), (36.3127196, 59.6729735), (36.3125597, 59.6732752), (36.3144444, 59.6723109), (36.3177197, 59.6703462), (36.3179315, 59.6702135), (36.3183702, 59.6699318), (36.3190942, 59.6694316), (36.3192752, 59.6692834), (36.320111, 59.6673381)]"
ابوذر,0,0,1,0,0,0,0,0,0,11.11,"[(36.3017221, 59.6487345), (36.3079646, 59.6587497), (36.3082607, 59.659034), (36.3017221, 59.6487345), (36.3115926, 59.6534938), (36.3104935, 59.6552896), (36.3082607, 59.659034), (36.309229, 59.6574569), (36.3115926, 59.6534938)]"
وحید,0,0,3,19,0,2,0,1,0,44.44,"[(36.2990805, 59.6512623), (36.3063543, 59.6623103), (36.3047602, 59.6591815), (36.3045516, 59.6588556), (36.3038891, 59.6578324), (36.2990805, 59.6512623), (36.3017221, 59.6487345), (36.3079646, 59.6587497), (36.3082607, 59.659034), (36.3017221, 59.6487345), (36.3017221, 59.6487345), (36.3015794, 59.6488658), (36.2990805, 59.6512623), (36.3017221, 59.6487345)]"
تلگرد,0,0,38,91,0,2,3,14,1,66.67,"[(36.2973878, 59.6619829), (36.3013935, 59.6652433), (36.3022171, 59.6656617), (36.3032222, 59.6657395), (36.3039485, 59.6654069), (36.3045278, 59.6650529), (36.3049645, 59.6645996), (36.3053903, 59.6639183), (36.3063543, 59.6623103), (36.2973878, 59.6619829), (36.2990805, 59.6512623), (36.3063543, 59.6623103), (36.3047602, 59.6591815), (36.3045516, 59.6588556), (36.3038891, 59.6578324), (36.2990805, 59.6512623), (36.2935832, 59.6502015), (36.2958012, 59.6508774), (36.2978397, 59.6514192), (36.2983845, 59.6514755), (36.2987023, 59.6514299), (36.2990805, 59.6512623), (36.2935832, 59.6502015), (36.2935832, 59.6502015), (36.2939896, 59.6608522), (36.2947462, 59.6569231), (36.2935832, 59.6502015)]"
ایثار,1,0,3,51,0,2,0,20,1,66.67,"[(36.2975392, 59.6419819), (36.2958206, 59.6436247), (36.293476, 59.6458698), (36.294089, 59.645285), (36.2975392, 59.6419819), (36.3018205, 59.6378606), (36.2975392, 59.6419819), (36.2998523, 59.6397623), (36.3018205, 59.6378606), (36.3000303, 59.6349233), (36.3018205, 59.6378606), (36.3017298, 59.6377099), (36.3000303, 59.6349233), (36.2959034, 59.6282883), (36.2963061, 59.6290589), (36.2991494, 59.633549), (36.2959034, 59.6282883), (36.2959034, 59.6282883), (36.2956341, 59.6283694), (36.2947008, 59.6288994), (36.2939399, 59.6295914), (36.2924812, 59.6310097), (36.2959034, 59.6282883), (36.2924812, 59.6310097), (36.2898251, 59.6335471), (36.2893688, 59.6343697), (36.2892256, 59.6348052), (36.2894972, 59.6358306), (36.2924812, 59.6310097), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.290371, 59.6391142), (36.2894972, 59.6358306), (36.2906592, 59.6403538), (36.2910335, 59.6417537), (36.2915748, 59.6428395), (36.293476, 59.6458698), (36.2906592, 59.6403538)]"
طلاب,0,0,1,1,0,3,0,2,1,55.56,"[(36.3018205, 59.6378606), (36.2975392, 59.6419819), (36.2998523, 59.6397623), (36.3018205, 59.6378606), (36.2975392, 59.6419819), (36.3001187, 59.6461715), (36.3017221, 59.6487345), (36.3008439, 59.6472926), (36.2975392, 59.6419819)]"
اقبال,0,0,7,13,0,2,0,2,0,44.44,"[(36.3331479, 59.4622993), (36.3308304, 59.4690827), (36.3294637, 59.4731905), (36.3293243, 59.4740608), (36.3331479, 59.4622993), (36.3293243, 59.4740608), (36.3330183, 59.4768691), (36.3340035, 59.4773197), (36.3348678, 59.4775772), (36.3312378, 59.4750881), (36.3304253, 59.4745946), (36.3293243, 59.4740608)]"
