,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
ناحیه ۲ منطقه ۵,17,0,225,1712,5,6,5,116,5,88.89,"[{'lat': 36.2702972, 'lon': 59.6571442}, {'lat': 36.2713087, 'lon': 59.6575347}, {'lat': 36.2725002, 'lon': 59.6577036}, {'lat': 36.273696, 'lon': 59.6575052}, {'lat': 36.2758843, 'lon': 59.6564966}, {'lat': 36.276587, 'lon': 59.6561574}, {'lat': 36.2773222, 'lon': 59.6558261}, {'lat': 36.2780805, 'lon': 59.6556277}, {'lat': 36.2788683, 'lon': 59.6555498}, {'lat': 36.2801267, 'lon': 59.6557188}, {'lat': 36.2841894, 'lon': 59.6574837}, {'lat': 36.285718, 'lon': 59.6580979}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۱ منطقه ۵,1,0,180,923,4,11,6,84,7,88.89,"[{'lat': 36.2702972, 'lon': 59.6571442}, {'lat': 36.2713087, 'lon': 59.6575347}, {'lat': 36.2725002, 'lon': 59.6577036}, {'lat': 36.273696, 'lon': 59.6575052}, {'lat': 36.2758843, 'lon': 59.6564966}, {'lat': 36.276587, 'lon': 59.6561574}, {'lat': 36.2773222, 'lon': 59.6558261}, {'lat': 36.2780805, 'lon': 59.6556277}, {'lat': 36.2788683, 'lon': 59.6555498}, {'lat': 36.2801267, 'lon': 59.6557188}, {'lat': 36.2841894, 'lon': 59.6574837}, {'lat': 36.285718, 'lon': 59.6580979}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۳ منطقه ۶,9,0,135,1015,2,2,1,116,4,88.89,"[{'lat': 36.2691398, 'lon': 59.6600116}, {'lat': 36.2689299, 'lon': 59.6604985}, {'lat': 36.2675199, 'lon': 59.6640377}, {'lat': 36.2660645, 'lon': 59.6676452}]"
ناحیه ۲ منطقه ۶,22,0,193,1261,4,4,1,182,5,88.89,"[{'lat': 36.2580623, 'lon': 59.6260974}, {'lat': 36.2582247, 'lon': 59.6271372}, {'lat': 36.2591417, 'lon': 59.6424472}, {'lat': 36.2593839, 'lon': 59.6442282}, {'lat': 36.2600998, 'lon': 59.6464491}]"
ناحیه ۱ منطقه ۶,6,0,165,1053,3,12,5,100,10,88.89,"[{'lat': 36.2765014, 'lon': 59.6173075}, {'lat': 36.2760721, 'lon': 59.6175185}, {'lat': 36.2750309, 'lon': 59.6184383}, {'lat': 36.2739972, 'lon': 59.6191335}, {'lat': 36.2735085, 'lon': 59.6203123}, {'lat': 36.2733095, 'lon': 59.6208488}, {'lat': 36.2731452, 'lon': 59.6214174}, {'lat': 36.2729685, 'lon': 59.621976}, {'lat': 36.272745, 'lon': 59.6225071}, {'lat': 36.2724725, 'lon': 59.6230703}, {'lat': 36.2719838, 'lon': 59.6240145}, {'lat': 36.2708723, 'lon': 59.6258223}]"
حرم مطهر رضوی,9,0,141,33,0,2,1,53,2,77.78,"[{'lat': 36.2895793, 'lon': 59.6183261}, {'lat': 36.2894366, 'lon': 59.6184871}, {'lat': 36.2893264, 'lon': 59.6187714}, {'lat': 36.2892334, 'lon': 59.618994}, {'lat': 36.2893393, 'lon': 59.6193132}, {'lat': 36.2896009, 'lon': 59.6194768}, {'lat': 36.2896031, 'lon': 59.6197182}, {'lat': 36.2893977, 'lon': 59.6200991}, {'lat': 36.2885502, 'lon': 59.6208957}, {'lat': 36.2876746, 'lon': 59.6205926}, {'lat': 36.2866606, 'lon': 59.6197557}, {'lat': 36.2867298, 'lon': 59.6195251}, {'lat': 36.2866029, 'lon': 59.6193716}, {'lat': 36.2864595, 'lon': 59.6191982}, {'lat': 36.2863882, 'lon': 59.619112}, {'lat': 36.2865655, 'lon': 59.6179855}]"
ناحیه ۴ منطقه ۳,10,0,20,413,1,0,1,24,0,66.67,"[{'lat': 36.3823542, 'lon': 59.6748322}, {'lat': 36.3828157, 'lon': 59.6746449}, {'lat': 36.3837458, 'lon': 59.6748757}, {'lat': 36.3839497, 'lon': 59.6759142}, {'lat': 36.3849541, 'lon': 59.6765835}, {'lat': 36.384213, 'lon': 59.6787038}, {'lat': 36.3851879, 'lon': 59.6795076}, {'lat': 36.3864784, 'lon': 59.6800685}, {'lat': 36.387463, 'lon': 59.6804143}, {'lat': 36.3896021, 'lon': 59.6804836}, {'lat': 36.3919552, 'lon': 59.6803269}, {'lat': 36.3925902, 'lon': 59.6803562}, {'lat': 36.3932195, 'lon': 59.6803034}]"
ناحیه ۱ منطقه ۳,6,0,279,1499,4,45,9,346,20,88.89,"[{'lat': 36.3255976, 'lon': 59.6231243}, {'lat': 36.3266481, 'lon': 59.6237442}, {'lat': 36.3273831, 'lon': 59.6240169}]"
ناحیه ۲ منطقه ۳,14,0,351,2063,5,11,8,185,16,88.89,"[{'lat': 36.3115926, 'lon': 59.6534938}, {'lat': 36.3174804, 'lon': 59.6631082}]"
ناحیه ۳ منطقه ۳,10,0,303,1502,2,11,2,219,7,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3383941, 'lon': 59.6072375}, {'lat': 36.3401388, 'lon': 59.6080668}, {'lat': 36.3459258, 'lon': 59.6113781}, {'lat': 36.3468997, 'lon': 59.611901}, {'lat': 36.3507774, 'lon': 59.6126945}, {'lat': 36.3590943, 'lon': 59.614411}, {'lat': 36.3648893, 'lon': 59.6225393}]"
ناحیه ۲ منطقه ۸,33,4,365,1245,13,93,29,575,68,100.0,"[{'lat': 36.2797072, 'lon': 59.5973553}, {'lat': 36.2804672, 'lon': 59.5966016}, {'lat': 36.2812164, 'lon': 59.5958546}]"
ناحیه ۱ منطقه ۸,26,3,164,688,6,104,18,323,61,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
ناحیه ۳ منطقه ۱۰,21,4,799,2433,4,28,8,388,25,100.0,"[{'lat': 36.3452517, 'lon': 59.5480044}, {'lat': 36.3463705, 'lon': 59.5477277}, {'lat': 36.3479649, 'lon': 59.546982}, {'lat': 36.3545342, 'lon': 59.5430902}, {'lat': 36.359213, 'lon': 59.5403275}, {'lat': 36.364507, 'lon': 59.5371437}, {'lat': 36.3658332, 'lon': 59.5363659}]"
ناحیه ۲ منطقه ۱۰,11,2,949,1659,3,26,6,255,28,100.0,"[{'lat': 36.3593004, 'lon': 59.5075308}, {'lat': 36.3592583, 'lon': 59.5065973}, {'lat': 36.3591223, 'lon': 59.5056211}, {'lat': 36.3590391, 'lon': 59.5051919}, {'lat': 36.3589257, 'lon': 59.5047802}, {'lat': 36.3586923, 'lon': 59.5042128}, {'lat': 36.3585012, 'lon': 59.5038119}, {'lat': 36.3582744, 'lon': 59.5034458}, {'lat': 36.3579796, 'lon': 59.5030729}, {'lat': 36.3574838, 'lon': 59.5025942}, {'lat': 36.3571134, 'lon': 59.5023769}, {'lat': 36.3564805, 'lon': 59.5020443}, {'lat': 36.3559361, 'lon': 59.5018861}, {'lat': 36.3551239, 'lon': 59.5018083}, {'lat': 36.3520694, 'lon': 59.501591}]"
ناحیه ۱ منطقه ۱۰,42,2,1332,2795,3,31,11,533,44,100.0,"[{'lat': 36.3510607, 'lon': 59.4658001}, {'lat': 36.3520511, 'lon': 59.4668873}, {'lat': 36.3535627, 'lon': 59.4689701}, {'lat': 36.3538125, 'lon': 59.4693503}, {'lat': 36.3544654, 'lon': 59.4701806}, {'lat': 36.3556127, 'lon': 59.4719881}, {'lat': 36.3562949, 'lon': 59.4732138}]"
ناحیه ۲ منطقه ۹,107,0,950,2649,5,61,29,538,65,88.89,"[{'lat': 36.3108771, 'lon': 59.5044744}, {'lat': 36.310447, 'lon': 59.5040707}, {'lat': 36.3095868, 'lon': 59.5034726}, {'lat': 36.3095046, 'lon': 59.5034095}, {'lat': 36.3086325, 'lon': 59.5029469}, {'lat': 36.3081191, 'lon': 59.5025405}, {'lat': 36.3079473, 'lon': 59.5022294}, {'lat': 36.3076871, 'lon': 59.5020014}, {'lat': 36.3061987, 'lon': 59.5008118}, {'lat': 36.3056594, 'lon': 59.5002875}, {'lat': 36.3056053, 'lon': 59.5001091}, {'lat': 36.3051514, 'lon': 59.4994386}, {'lat': 36.3048639, 'lon': 59.4991609}, {'lat': 36.3037432, 'lon': 59.4982772}, {'lat': 36.3034287, 'lon': 59.4978601}, {'lat': 36.3025176, 'lon': 59.4959946}, {'lat': 36.3022852, 'lon': 59.4955641}, {'lat': 36.3019339, 'lon': 59.4950424}, {'lat': 36.3016886, 'lon': 59.494797}, {'lat': 36.3014368, 'lon': 59.4946106}, {'lat': 36.3010228, 'lon': 59.4943719}, {'lat': 36.3000457, 'lon': 59.4939038}, {'lat': 36.2968788, 'lon': 59.4925225}, {'lat': 36.2964649, 'lon': 59.4925413}, {'lat': 36.2949797, 'lon': 59.4919243}, {'lat': 36.2946587, 'lon': 59.4919418}, {'lat': 36.294476, 'lon': 59.4920585}, {'lat': 36.2942209, 'lon': 59.4921081}, {'lat': 36.2940285, 'lon': 59.4920598}, {'lat': 36.2937626, 'lon': 59.4919525}, {'lat': 36.2932038, 'lon': 59.4912726}, {'lat': 36.2924504, 'lon': 59.490189}, {'lat': 36.2916267, 'lon': 59.489914}, {'lat': 36.2909241, 'lon': 59.4895989}, {'lat': 36.2902928, 'lon': 59.489159}, {'lat': 36.2893415, 'lon': 59.4888478}, {'lat': 36.2865753, 'lon': 59.4869501}]"
ناحیه ۱ منطقه ۹,101,3,1472,2447,10,59,38,769,51,100.0,"[{'lat': 36.2766051, 'lon': 59.5549093}, {'lat': 36.2773747, 'lon': 59.5548136}, {'lat': 36.2777989, 'lon': 59.5548083}, {'lat': 36.2785195, 'lon': 59.5549843}, {'lat': 36.2800922, 'lon': 59.5553945}, {'lat': 36.28094, 'lon': 59.5556095}, {'lat': 36.2825726, 'lon': 59.5559678}, {'lat': 36.2851098, 'lon': 59.5564823}, {'lat': 36.2859054, 'lon': 59.5563767}]"
ناحیه ۳ منطقه ۷,64,0,211,481,1,1,0,229,1,77.78,"[{'lat': 36.200244, 'lon': 59.6683647}, {'lat': 36.1998309, 'lon': 59.6718528}, {'lat': 36.2007943, 'lon': 59.6764577}, {'lat': 36.2025753, 'lon': 59.679021}, {'lat': 36.2033765, 'lon': 59.6811073}, {'lat': 36.2049335, 'lon': 59.6840086}, {'lat': 36.2064899, 'lon': 59.6851412}, {'lat': 36.208527, 'lon': 59.687764}, {'lat': 36.2111911, 'lon': 59.691778}, {'lat': 36.2129229, 'lon': 59.6932281}, {'lat': 36.2266951, 'lon': 59.6817309}]"
ناحیه ۲ منطقه ۷,25,0,427,763,3,5,1,211,5,88.89,"[{'lat': 36.2344018, 'lon': 59.6252087}, {'lat': 36.2341985, 'lon': 59.6251389}, {'lat': 36.2341119, 'lon': 59.624868}]"
ناحیه ۱ منطقه ۷,28,1,407,1655,7,85,12,328,34,100.0,"[{'lat': 36.2344018, 'lon': 59.6252087}, {'lat': 36.2341985, 'lon': 59.6251389}, {'lat': 36.2341119, 'lon': 59.624868}]"
ناحیه ۲ منطقه ۱۲,9,1,547,1394,2,14,4,203,7,100.0,"[{'lat': 36.3809188, 'lon': 59.4608795}, {'lat': 36.3845438, 'lon': 59.4560391}, {'lat': 36.3881988, 'lon': 59.4484914}]"
ناحیه ۳ منطقه ۱۲,56,0,133,976,0,2,0,65,0,55.56,"[{'lat': 36.4301655, 'lon': 59.473865}, {'lat': 36.4275577, 'lon': 59.4695217}, {'lat': 36.4224365, 'lon': 59.4609926}, {'lat': 36.4286203, 'lon': 59.4546389}, {'lat': 36.4363934, 'lon': 59.4455033}, {'lat': 36.4443383, 'lon': 59.4555531}]"
ناحیه ۳ منطقه ۴,14,0,170,1396,2,1,5,82,9,88.89,"[{'lat': 36.2973878, 'lon': 59.6619829}, {'lat': 36.2976841, 'lon': 59.6620971}, {'lat': 36.300384, 'lon': 59.6643957}, {'lat': 36.3013935, 'lon': 59.6652433}, {'lat': 36.3022171, 'lon': 59.6656617}, {'lat': 36.3032222, 'lon': 59.6657395}, {'lat': 36.3039485, 'lon': 59.6654069}, {'lat': 36.3045278, 'lon': 59.6650529}, {'lat': 36.3049645, 'lon': 59.6645996}, {'lat': 36.3053903, 'lon': 59.6639183}, {'lat': 36.3063543, 'lon': 59.6623103}]"
ناحیه ۲ منطقه ۴,3,0,83,528,1,9,3,48,7,88.89,"[{'lat': 36.3060047, 'lon': 59.6445943}, {'lat': 36.3017221, 'lon': 59.6487345}]"
ناحیه ۱ منطقه ۴,3,0,141,610,2,24,5,87,12,88.89,"[{'lat': 36.2939896, 'lon': 59.6608522}, {'lat': 36.2916513, 'lon': 59.660165}, {'lat': 36.2880812, 'lon': 59.6590606}]"
ناحیه ۳ منطقه ۲,24,2,546,2126,5,25,3,303,12,100.0,"[{'lat': 36.3617491, 'lon': 59.5737907}, {'lat': 36.3602973, 'lon': 59.5703924}, {'lat': 36.3576404, 'lon': 59.5679757}, {'lat': 36.3543895, 'lon': 59.5648348}, {'lat': 36.3531193, 'lon': 59.5636117}, {'lat': 36.3529233, 'lon': 59.5634275}, {'lat': 36.3516093, 'lon': 59.5621929}, {'lat': 36.3519052, 'lon': 59.5617771}, {'lat': 36.352603, 'lon': 59.5605272}, {'lat': 36.3535211, 'lon': 59.5589152}, {'lat': 36.3549705, 'lon': 59.5566514}, {'lat': 36.3566576, 'lon': 59.554102}, {'lat': 36.3572624, 'lon': 59.5534971}, {'lat': 36.3589782, 'lon': 59.5519828}]"
ناحیه ۲ منطقه ۲,64,0,280,1692,2,10,1,161,7,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3377113, 'lon': 59.603228}, {'lat': 36.3392582, 'lon': 59.599784}, {'lat': 36.3399398, 'lon': 59.5982627}]"
ناحیه ۴ منطقه ۲,45,0,354,1050,2,14,7,143,38,88.89,"[{'lat': 36.3434367, 'lon': 59.5903212}, {'lat': 36.3422268, 'lon': 59.5891195}, {'lat': 36.3384956, 'lon': 59.5851928}]"
ناحیه ۱ منطقه ۲,58,3,447,3314,4,56,29,520,71,100.0,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3377113, 'lon': 59.603228}, {'lat': 36.3392582, 'lon': 59.599784}, {'lat': 36.3399398, 'lon': 59.5982627}]"
شهید احمدی روشن,0,0,2,97,0,0,0,2,0,33.33,"[{'lat': 36.3826522, 'lon': 59.669795}, {'lat': 36.3818334, 'lon': 59.6696864}, {'lat': 36.3813616, 'lon': 59.6690421}, {'lat': 36.3805325, 'lon': 59.6694575}, {'lat': 36.3800861, 'lon': 59.6631562}, {'lat': 36.3792118, 'lon': 59.6631562}, {'lat': 36.3787467, 'lon': 59.663664}, {'lat': 36.3788955, 'lon': 59.6672647}, {'lat': 36.3780755, 'lon': 59.6667337}, {'lat': 36.3776477, 'lon': 59.6660643}, {'lat': 36.3774617, 'lon': 59.6644717}, {'lat': 36.3762525, 'lon': 59.6639177}, {'lat': 36.3755257, 'lon': 59.665233}, {'lat': 36.3756187, 'lon': 59.6676566}, {'lat': 36.374557, 'lon': 59.6684409}, {'lat': 36.3739642, 'lon': 59.6692307}, {'lat': 36.3732782, 'lon': 59.6697673}, {'lat': 36.3716506, 'lon': 59.6702947}, {'lat': 36.3703287, 'lon': 59.6717049}, {'lat': 36.369938, 'lon': 59.6735226}, {'lat': 36.3696854, 'lon': 59.674509}, {'lat': 36.370704, 'lon': 59.6748898}, {'lat': 36.369935, 'lon': 59.6767229}, {'lat': 36.3736453, 'lon': 59.6787669}, {'lat': 36.3747179, 'lon': 59.6777622}, {'lat': 36.3757783, 'lon': 59.6771217}, {'lat': 36.3776851, 'lon': 59.6776469}, {'lat': 36.3776107, 'lon': 59.6791934}, {'lat': 36.3784664, 'lon': 59.6791472}, {'lat': 36.3792291, 'lon': 59.6782932}, {'lat': 36.379936, 'lon': 59.6782239}, {'lat': 36.380194, 'lon': 59.6752685}, {'lat': 36.3811427, 'lon': 59.6745299}, {'lat': 36.3818868, 'lon': 59.6750146}, {'lat': 36.3823542, 'lon': 59.6748322}]"
شهید علی محمدی,2,0,0,121,1,0,0,9,0,44.44,"[{'lat': 36.3823542, 'lon': 59.6748322}, {'lat': 36.3828157, 'lon': 59.6746449}, {'lat': 36.3837458, 'lon': 59.6748757}, {'lat': 36.3839497, 'lon': 59.6759142}, {'lat': 36.3849541, 'lon': 59.6765835}, {'lat': 36.384213, 'lon': 59.6787038}, {'lat': 36.3851879, 'lon': 59.6795076}, {'lat': 36.3864784, 'lon': 59.6800685}, {'lat': 36.387463, 'lon': 59.6804143}, {'lat': 36.3896021, 'lon': 59.6804836}, {'lat': 36.3919552, 'lon': 59.6803269}, {'lat': 36.3925902, 'lon': 59.6803562}, {'lat': 36.3932195, 'lon': 59.6803034}]"
آیت الله کاشانی,0,0,35,407,1,5,5,125,6,77.78,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.3031026, 'lon': 59.609197}]"
قائم,1,0,45,159,1,0,0,34,0,55.56,"[{'lat': 36.3240809, 'lon': 59.6308815}, {'lat': 36.3227756, 'lon': 59.6326545}, {'lat': 36.3202731, 'lon': 59.6378177}, {'lat': 36.3191666, 'lon': 59.6398656}]"
کوی سیدی,20,0,214,289,1,4,0,76,5,77.78,"[{'lat': 36.2341119, 'lon': 59.624868}, {'lat': 36.2357021, 'lon': 59.6241251}, {'lat': 36.2389385, 'lon': 59.622505}, {'lat': 36.2409548, 'lon': 59.621534}, {'lat': 36.2437886, 'lon': 59.6201152}, {'lat': 36.2445652, 'lon': 59.6195894}, {'lat': 36.2454024, 'lon': 59.6187338}, {'lat': 36.2461725, 'lon': 59.6175483}, {'lat': 36.2473297, 'lon': 59.6153408}, {'lat': 36.247665, 'lon': 59.6143377}, {'lat': 36.2484524, 'lon': 59.610647}, {'lat': 36.2493176, 'lon': 59.6088445}, {'lat': 36.2518181, 'lon': 59.6068275}, {'lat': 36.2525352, 'lon': 59.6058967}, {'lat': 36.2534403, 'lon': 59.6042351}, {'lat': 36.2544959, 'lon': 59.6019351}]"
کوی ولیعصر,2,0,74,195,1,0,0,13,0,55.56,"[{'lat': 36.2414534, 'lon': 59.601966}, {'lat': 36.2371667, 'lon': 59.5988747}, {'lat': 36.2356253, 'lon': 59.5977978}, {'lat': 36.2354338, 'lon': 59.5976825}, {'lat': 36.235158, 'lon': 59.5975484}, {'lat': 36.2332043, 'lon': 59.5967826}, {'lat': 36.2328592, 'lon': 59.5966163}, {'lat': 36.2325618, 'lon': 59.5964098}, {'lat': 36.232288, 'lon': 59.5961631}]"
کوی المهدی,1,0,107,175,0,4,0,20,1,66.67,"[{'lat': 36.2472324, 'lon': 59.5899027}, {'lat': 36.2493133, 'lon': 59.5913404}, {'lat': 36.2507809, 'lon': 59.5925756}, {'lat': 36.2519695, 'lon': 59.5936324}, {'lat': 36.2555578, 'lon': 59.5967276}, {'lat': 36.2542839, 'lon': 59.5993911}, {'lat': 36.2534079, 'lon': 59.6011037}, {'lat': 36.2542017, 'lon': 59.6018708}]"
آبادگران,11,0,77,270,6,4,4,170,6,88.89,"[{'lat': 36.2571497, 'lon': 59.590989}, {'lat': 36.2536869, 'lon': 59.5891034}, {'lat': 36.2527785, 'lon': 59.5908952}, {'lat': 36.2521036, 'lon': 59.59023}, {'lat': 36.2541887, 'lon': 59.5865178}, {'lat': 36.2535139, 'lon': 59.5843076}, {'lat': 36.2526622, 'lon': 59.5816067}]"
آیت الله خامنه ای,7,0,42,138,0,7,1,26,5,77.78,"[{'lat': 36.2909554, 'lon': 59.6063187}, {'lat': 36.2881847, 'lon': 59.6086612}, {'lat': 36.2838522, 'lon': 59.6122353}]"
سراب,4,0,58,122,1,19,2,76,3,88.89,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
percentage,96.3,35.19,98.15,100.0,90.74,90.74,85.19,100.0,88.89,100.0,87.2437037037037
